t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00003056,-0.00011155,0.00027936,-0.00028536,-0.00010492,0.00000547,-0.00183372,-0.00669272,0.01676172,-0.01712135,-0.00629497,0.00032833
0.03333333,-0.00008993,-0.00033104,0.00088499,-0.00079075,-0.00030807,0.00001643,-0.00355821,-0.01315935,0.03634179,-0.03032380,-0.01218949,0.00065381
0.05000000,-0.00017643,-0.00065594,0.00185796,-0.00146172,-0.00060276,0.00003298,-0.00517273,-0.01944761,0.05839550,-0.04025773,-0.01768187,0.00097902
0.06666667,-0.00028853,-0.00108482,0.00323311,-0.00225323,-0.00098227,0.00005536,-0.00667695,-0.02561193,0.08255036,-0.04748994,-0.02277282,0.00130945
0.08333333,-0.00042479,-0.00161506,0.00503865,-0.00312827,-0.00143997,0.00008386,-0.00807088,-0.03156998,0.10841143,-0.05250070,-0.02746547,0.00164852
0.10000000,-0.00058389,-0.00224426,0.00729591,-0.00405624,-0.00196928,0.00011879,-0.00935428,-0.03732735,0.13556720,-0.05567514,-0.03176500,0.00199605
0.11666667,-0.00076462,-0.00297015,0.01001925,-0.00501195,-0.00256374,0.00016040,-0.01052715,-0.04288870,0.16359620,-0.05733741,-0.03567765,0.00235208
0.13333333,-0.00096585,-0.00379052,0.01321590,-0.00597472,-0.00321701,0.00020895,-0.01158977,-0.04825796,0.19207376,-0.05775872,-0.03921028,0.00271666
0.15000000,-0.00118651,-0.00470315,0.01688613,-0.00692765,-0.00392285,0.00026467,-0.01254278,-0.05343832,0.22057880,-0.05716499,-0.04236998,0.00308993
0.16666667,-0.00142560,-0.00570578,0.02102339,-0.00785696,-0.00467517,0.00032774,-0.01338711,-0.05843233,0.24870063,-0.05574372,-0.04516381,0.00347133
0.18333333,-0.00168211,-0.00679601,0.02561457,-0.00875145,-0.00546794,0.00039831,-0.01412398,-0.06324198,0.27604527,-0.05365012,-0.04759838,0.00386017
0.20000000,-0.00195504,-0.00797146,0.03064041,-0.00960204,-0.00629529,0.00047647,-0.01475492,-0.06787829,0.30224116,-0.05100923,-0.04967972,0.00425527
0.21666667,-0.00224336,-0.00922941,0.03607594,-0.01040141,-0.00715139,0.00056229,-0.01528167,-0.07233284,0.32694426,-0.04793006,-0.05141307,0.00465555
0.23333333,-0.00254597,-0.01056676,0.04189103,-0.01114380,-0.00803051,0.00065577,-0.01570614,-0.07659568,0.34984203,-0.04450335,-0.05280277,0.00505956
0.25000000,-0.00286169,-0.01198034,0.04805093,-0.01182456,-0.00892697,0.00075688,-0.01603034,-0.08067722,0.37065674,-0.04079700,-0.05385210,0.00546665
0.26666667,-0.00318924,-0.01346680,0.05451692,-0.01244004,-0.00983514,0.00086558,-0.01625605,-0.08457719,0.38914753,-0.03687057,-0.05456325,0.00587703
0.28333333,-0.00352718,-0.01502255,0.06124695,-0.01298741,-0.01074938,0.00098187,-0.01638485,-0.08829498,0.40511165,-0.03277360,-0.05493718,0.00629436
0.30000000,-0.00387397,-0.01664382,0.06819621,-0.01346454,-0.01166410,0.00110569,-0.01641976,-0.09182968,0.41838461,-0.02854756,-0.05497523,0.00671553
