t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00003442,-0.00006170,-0.00012671,-0.00014644,-0.00010681,-0.00001326,-0.00206500,-0.00370215,-0.00760257,-0.00878650,-0.00640874,-0.00079582
0.03333333,-0.00010091,-0.00018279,-0.00039537,-0.00040293,-0.00031067,-0.00003993,-0.00399123,-0.00726786,-0.01611840,-0.01538921,-0.01223130,-0.00160174
0.05000000,-0.00019706,-0.00036088,-0.00081866,-0.00073924,-0.00060184,-0.00008004,-0.00577660,-0.01069591,-0.02539081,-0.02017936,-0.01746943,-0.00241342
0.06666667,-0.00032038,-0.00059353,-0.00140653,-0.00113045,-0.00097066,-0.00013354,-0.00741935,-0.01398520,-0.03525778,-0.02347493,-0.02212683,-0.00322663
0.08333333,-0.00046832,-0.00087823,-0.00216623,-0.00155616,-0.00140756,-0.00020034,-0.00891809,-0.01713490,-0.04555417,-0.02554656,-0.02620911,-0.00403739
0.10000000,-0.00063826,-0.00121248,-0.00310223,-0.00199978,-0.00190308,-0.00028027,-0.01027172,-0.02014444,-0.05611395,-0.02662375,-0.02972373,-0.00484205
0.11666667,-0.00082757,-0.00159376,-0.00421623,-0.00244794,-0.00244794,-0.00037313,-0.01147944,-0.02301354,-0.06677245,-0.02690025,-0.03268026,-0.00563732
0.13333333,-0.00103359,-0.00201956,-0.00550726,-0.00289000,-0.00303303,-0.00047871,-0.01254074,-0.02574216,-0.07736840,-0.02653900,-0.03508991,-0.00642031
0.15000000,-0.00125363,-0.00248740,-0.00697172,-0.00331759,-0.00364947,-0.00059674,-0.01345541,-0.02833059,-0.08774614,-0.02567663,-0.03696575,-0.00718866
0.16666667,-0.00148504,-0.00299485,-0.00860356,-0.00372423,-0.00428861,-0.00072696,-0.01422363,-0.03077936,-0.09775725,-0.02442706,-0.03832238,-0.00794069
0.18333333,-0.00172519,-0.00353950,-0.01039435,-0.00410504,-0.00494207,-0.00086912,-0.01484593,-0.03308924,-0.10726243,-0.02288531,-0.03917576,-0.00867521
0.20000000,-0.00197150,-0.00411902,-0.01233354,-0.00445645,-0.00560176,-0.00102294,-0.01532342,-0.03526126,-0.11613298,-0.02113006,-0.03954291,-0.00939166
0.21666667,-0.00222147,-0.00473114,-0.01440858,-0.00477596,-0.00625986,-0.00118816,-0.01565797,-0.03729663,-0.12425195,-0.01922635,-0.03944142,-0.01008889
0.23333333,-0.00247271,-0.00537365,-0.01660521,-0.00506198,-0.00690885,-0.00136441,-0.01585290,-0.03919680,-0.13151525,-0.01722748,-0.03888848,-0.01076080
0.25000000,-0.00272290,-0.00604439,-0.01890762,-0.00531365,-0.00754153,-0.00155126,-0.01591102,-0.04096337,-0.13783240,-0.01517726,-0.03790331,-0.01140238
0.26666667,-0.00296987,-0.00674129,-0.02129873,-0.00553068,-0.00815103,-0.00174824,-0.01583443,-0.04259812,-0.14312696,-0.01311139,-0.03650705,-0.01201301
0.28333333,-0.00321149,-0.00746233,-0.02376041,-0.00571330,-0.00873088,-0.00195491,-0.01562541,-0.04410303,-0.14733695,-0.01105834,-0.03472157,-0.01259204
0.30000000,-0.00344579,-0.00820554,-0.02627375,-0.00586211,-0.00927494,-0.00217080,-0.01528648,-0.04548023,-0.15041484,-0.00904119,-0.03256909,-0.01313900
0.31666667,-0.00367085,-0.00896903,-0.02881924,-0.00597799,-0.00977747,-0.00239542,-0.01482029,-0.04673199,-0.15232733,-0.00707805,-0.03007219,-0.01365327
0.33333333,-0.00388489,-0.00975093,-0.03137708,-0.00606210,-0.01023309,-0.00262829,-0.01422972,-0.04786074,-0.15305510,-0.00518305,-0.02725338,-0.01413437
0.35000000,-0.00408620,-0.01054946,-0.03392734,-0.00611575,-0.01063681,-0.00286889,-0.01351783,-0.04886904,-0.15259224,-0.00336716,-0.02413514,-0.01458185
0.36666667,-0.00427317,-0.01136285,-0.03645024,-0.00614043,-0.01098399,-0.00311670,-0.01268785,-0.04975962,-0.15094565,-0.00163839,-0.02073968,-0.01499531
0.38333333,-0.00444428,-0.01218940,-0.03892627,-0.00613767,-0.01127037,-0.00337121,-0.01174326,-0.05053534,-0.14813422,-0.00000262,-0.01708875,-0.01537458
0.40000000,-0.00459809,-0.01302739,-0.04133645,-0.00610909,-0.01149203,-0.00363185,-0.01068795,-0.05119621,-0.14418806,0.00153856,-0.01320346,-0.01571860
0.41666667,-0.00473339,-0.01387449,-0.04366247,-0.00605583,-0.01164525,-0.00389804,-0.00953674,-0.05170616,-0.13914752,0.00301237,-0.00909552,-0.01602639
0.43333333,-0.00484906,-0.01472897,-0.04588685,-0.00597961,-0.01172665,-0.00416923,-0.00829401,-0.05210190,-0.13306226,0.00438379,-0.00478490,-0.01629967
0.45000000,-0.00494402,-0.01558937,-0.04799309,-0.00588237,-0.01173315,-0.00444488,-0.00696377,-0.05240204,-0.12599028,0.00564052,-0.00029128,-0.01653986
0.46666667,-0.00501723,-0.01645430,-0.04996578,-0.00576598,-0.01166202,-0.00472448,-0.00555015,-0.05260974,-0.11799693,0.00678635,0.00436644,-0.01674909
0.48333333,-0.00506767,-0.01732237,-0.05179071,-0.00563226,-0.01151083,-0.00500754,-0.00405745,-0.05272823,-0.10915390,0.00782517,0.00916883,-0.01693018
0.50000000,-0.00509438,-0.01819224,-0.05345497,-0.00548295,-0.01127751,-0.00529365,-0.00249021,-0.05276091,-0.09953829,0.00876105,0.01409568,-0.01708606
0.51666667,-0.00509639,-0.01906260,-0.05494703,-0.00531972,-0.01096029,-0.00558236,-0.00085367,-0.05271129,-0.08923171,0.00959826,0.01912775,-0.01721697
0.53333333,-0.00507277,-0.01993217,-0.05625676,-0.00514418,-0.01055772,-0.00587324,0.00084677,-0.05258299,-0.07831930,0.01034105,0.02424671,-0.01732290
