t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00000683,0.00000314,0.00184432,-0.00001994,-0.00004460,-0.00000247,-0.00040995,0.00018863,0.11065944,-0.00119648,-0.00267573,-0.00014837
0.03333333,-0.00002014,0.00000908,0.00546496,-0.00005459,-0.00012989,-0.00000731,-0.00078850,0.00036022,0.21723840,-0.00207892,-0.00511748,-0.00029005
0.05000000,-0.00003994,0.00001732,0.01078596,-0.00009966,-0.00025369,-0.00001438,-0.00114697,0.00051219,0.31925988,-0.00270398,-0.00742803,-0.00042473
0.06666667,-0.00006660,0.00002735,0.01772499,-0.00015162,-0.00041512,-0.00002339,-0.00149372,0.00064299,0.41634202,-0.00311813,-0.00968603,-0.00054199
0.08333333,-0.00010050,0.00003859,0.02619498,-0.00020761,-0.00061306,-0.00003420,-0.00182315,0.00075185,0.50820013,-0.00335947,-0.01187611,-0.00065010
0.10000000,-0.00014221,0.00005164,0.03610571,-0.00027175,-0.00084694,-0.00004685,-0.00213790,0.00090620,0.59464495,-0.00384887,-0.01403245,-0.00076171
0.11666667,-0.00019263,0.00006574,0.04736530,-0.00034020,-0.00111792,-0.00006188,-0.00245333,0.00102961,0.67557779,-0.00410808,-0.01625881,-0.00090639
0.13333333,-0.00025297,0.00008020,0.05988163,-0.00040984,-0.00142842,-0.00007923,-0.00278076,0.00112238,0.75098297,-0.00417918,-0.01862950,-0.00104755
0.15000000,-0.00032407,0.00009518,0.07356353,-0.00048254,-0.00177835,-0.00009885,-0.00309364,0.00123515,0.82091852,-0.00436360,-0.02099517,-0.00118577
0.16666667,-0.00040730,0.00010990,0.08832184,-0.00055473,-0.00217014,-0.00012137,-0.00341919,0.00131023,0.88550572,-0.00433385,-0.02350712,-0.00136257
0.18333333,-0.00050365,0.00012429,0.10407031,-0.00062655,-0.00260369,-0.00014677,-0.00373033,0.00138635,0.94491809,-0.00431295,-0.02601207,-0.00153832
0.20000000,-0.00061442,0.00013752,0.12072627,-0.00069448,-0.00308028,-0.00017577,-0.00404437,0.00141919,0.99937054,-0.00408001,-0.02859402,-0.00175812
0.21666667,-0.00074059,0.00014932,0.13821112,-0.00075743,-0.00359903,-0.00020827,-0.00433846,0.00143502,1.04910906,-0.00378286,-0.03112410,-0.00197131
0.23333333,-0.00088328,0.00015892,0.15645076,-0.00081218,-0.00415968,-0.00024499,-0.00462320,0.00140355,1.09440124,-0.00329302,-0.03363694,-0.00222871
0.25000000,-0.00104346,0.00016589,0.17537574,-0.00085683,-0.00476083,-0.00028597,-0.00488748,0.00133782,1.13552783,-0.00268936,-0.03606722,-0.00248795
0.26666667,-0.00122201,0.00016962,0.19492138,-0.00088885,-0.00540049,-0.00033175,-0.00512965,0.00122557,1.17277554,-0.00193437,-0.03837716,-0.00277964
0.28333333,-0.00141967,0.00016945,0.21502779,-0.00090556,-0.00607598,-0.00038304,-0.00534439,0.00105859,1.20643102,-0.00101891,-0.04052665,-0.00311332
0.30000000,-0.00163663,0.00016474,0.23557328,-0.00092020,-0.00678406,-0.00044028,-0.00552727,0.00082864,1.23278543,-0.00089961,-0.04248159,-0.00347286
0.31666667,-0.00187200,0.00015437,0.25630739,-0.00093714,-0.00752108,-0.00050347,-0.00568202,0.00051616,1.24411359,-0.00104186,-0.04421758,-0.00383199
