t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,0.00003756,-0.00006888,-0.00078182,-0.00015522,0.00009248,-0.00001009,0.00225343,-0.00413285,-0.04690894,-0.00931333,0.00554903,-0.00060556
0.03333333,0.00011170,-0.00020373,-0.00229331,-0.00042672,0.00027408,-0.00003065,0.00445675,-0.00810500,-0.09068813,-0.01628973,0.01089618,-0.00123153
0.05000000,0.00022115,-0.00040122,-0.00447456,-0.00078198,0.00054096,-0.00006208,0.00660368,-0.01190486,-0.13086817,-0.02131514,0.01601346,-0.00187942
0.06666667,0.00036442,-0.00065777,-0.00725921,-0.00119404,0.00088889,-0.00010484,0.00868746,-0.01552332,-0.16706197,-0.02472232,0.02087745,-0.00254875
0.08333333,0.00053978,-0.00096971,-0.01057587,-0.00164069,0.00131332,-0.00015922,0.01070050,-0.01895308,-0.19896755,-0.02679619,0.02547018,-0.00323255
0.10000000,0.00074535,-0.00133252,-0.01434954,-0.00210227,0.00180951,-0.00022527,0.01263509,-0.02213777,-0.22636804,-0.02768918,0.02977774,-0.00391443
0.11666667,0.00097924,-0.00174063,-0.01850299,-0.00256089,0.00237234,-0.00030321,0.01448937,-0.02500749,-0.24912908,-0.02750902,0.03377922,-0.00460536
0.13333333,0.00123954,-0.00219050,-0.02295803,-0.00300560,0.00299644,-0.00039329,0.01626075,-0.02767152,-0.26719470,-0.02666983,0.03746017,-0.00530866
0.15000000,0.00152433,-0.00267894,-0.02763675,-0.00342817,0.00367648,-0.00049581,0.01793997,-0.03014301,-0.28058112,-0.02533542,0.04082029,-0.00602863
0.16666667,0.00183161,-0.00320286,-0.03246257,-0.00382210,0.00440716,-0.00061055,0.01951631,-0.03241856,-0.28936989,-0.02361097,0.04386451,-0.00673411
0.18333333,0.00215952,-0.00375749,-0.03736121,-0.00418007,0.00518310,-0.00073738,0.02099065,-0.03438825,-0.29369996,-0.02144411,0.04658481,-0.00743162
0.20000000,0.00250642,-0.00433956,-0.04226155,-0.00449835,0.00599885,-0.00087638,0.02236327,-0.03613705,-0.29375986,-0.01905361,0.04897966,-0.00813501
0.21666667,0.00287070,-0.00494640,-0.04709627,-0.00477498,0.00684913,-0.00102755,0.02362815,-0.03769560,-0.28977971,-0.01654335,0.05105706,-0.00884075
0.23333333,0.00325070,-0.00557536,-0.05180243,-0.00500864,0.00772889,-0.00119032,0.02477245,-0.03906084,-0.28202369,-0.01395278,0.05283181,-0.00951357
0.25000000,0.00364505,-0.00622267,-0.05632197,-0.00519771,0.00863309,-0.00136435,0.02580246,-0.04016741,-0.27078298,-0.01126359,0.05430360,-0.01016989
0.26666667,0.00405255,-0.00688534,-0.06060198,-0.00534187,0.00955682,-0.00154954,0.02671982,-0.04105968,-0.25636936,-0.00855359,0.05548079,-0.01082283
0.28333333,0.00447209,-0.00756077,-0.06459500,-0.00544157,0.01049539,-0.00174567,0.02752400,-0.04176467,-0.23910949,-0.00586983,0.05637633,-0.01146582
0.30000000,0.00490250,-0.00824628,-0.06825918,-0.00549749,0.01144436,-0.00195199,0.02820192,-0.04227977,-0.21934001,-0.00322548,0.05700455,-0.01206893
0.31666667,0.00534274,-0.00893909,-0.07155835,-0.00551049,0.01239940,-0.00216785,0.02875913,-0.04260269,-0.19740319,-0.00063128,0.05737284,-0.01263545
0.33333333,0.00579197,-0.00963582,-0.07446210,-0.00548140,0.01335633,-0.00239293,0.02920253,-0.04270313,-0.17364340,0.00191238,0.05748925,-0.01318698
0.35000000,0.00624939,-0.01033371,-0.07694571,-0.00541149,0.01431117,-0.00262689,0.02953336,-0.04262129,-0.14840399,0.00438242,0.05736615,-0.01372200
0.36666667,0.00671424,-0.01102984,-0.07899014,-0.00530207,0.01526012,-0.00286935,0.02975316,-0.04235565,-0.12202493,0.00677359,0.05701498,-0.01423784
0.38333333,0.00718574,-0.01172123,-0.08058190,-0.00515453,0.01619956,-0.00311984,0.02986323,-0.04190519,-0.09484062,0.00908167,0.05644566,-0.01472862
0.40000000,0.00766306,-0.01240476,-0.08171299,-0.00497032,0.01712602,-0.00337765,0.02986219,-0.04126930,-0.06717823,0.01130310,0.05566604,-0.01517967
0.41666667,0.00814530,-0.01307726,-0.08238066,-0.00475093,0.01803610,-0.00364207,0.02975232,-0.04044785,-0.03935619,0.01343478,0.05468323,-0.01559181
0.43333333,0.00863159,-0.01373545,-0.08258735,-0.00449790,0.01892654,-0.00391239,0.02953979,-0.03944117,-0.01168301,0.01547431,0.05350272,-0.01596227
0.45000000,0.00912103,-0.01437603,-0.08234042,-0.00421280,0.01979413,-0.00418799,0.02923119,-0.03825013,0.01554396,0.01741937,0.05212919,-0.01629907
0.46666667,0.00961267,-0.01499564,-0.08165222,-0.00389721,0.02063573,-0.00446840,0.02883078,-0.03687605,0.04202637,0.01926800,0.05056691,-0.01660790
0.48333333,0.01010542,-0.01559091,-0.08054079,-0.00355278,0.02144829,-0.00475312,0.02834202,-0.03532082,0.06742320,0.02101824,0.04881926,-0.01688994
0.50000000,0.01059807,-0.01615844,-0.07902953,-0.00318117,0.02222874,-0.00504171,0.02776878,-0.03358678,0.09141204,0.02266821,0.04688836,-0.01714473
0.51666667,0.01108927,-0.01669490,-0.07714671,-0.00278406,0.02297406,-0.00533364,0.02711570,-0.03167681,0.11370100,0.02421613,0.04477499,-0.01736918
0.53333333,0.01157757,-0.01719697,-0.07492492,-0.00236316,0.02368123,-0.00562838,0.02638792,-0.02959432,0.13403218,0.02566024,0.04247913,-0.01756130
0.55000000,0.01206139,-0.01766141,-0.07240041,-0.00192021,0.02434720,-0.00592542,0.02559099,-0.02734315,0.15218406,0.02699866,0.04000014,-0.01772311
0.56666667,0.01253907,-0.01808508,-0.06961253,-0.00145699,0.02496892,-0.00622435,0.02472997,-0.02492765,0.16797312,0.02822971,0.03733738,-0.01785847
0.58333333,0.01300880,-0.01846496,-0.06660301,-0.00097530,0.02554332,-0.00652467,0.02380826,-0.02235263,0.18125440,0.02935172,0.03449062,-0.01796348
0.60000000,0.01346868,-0.01879808,-0.06341541,-0.00047692,0.02606737,-0.00682581,0.02282870,-0.01961968,0.19192131,0.03036376,0.03146014,-0.01803181
0.61666667,0.01391670,-0.01908030,-0.06009439,0.00003654,0.02653802,-0.00712733,0.02179336,-0.01665401,0.19990471,0.03127926,0.02824779,-0.01807178
0.63333333,0.01435077,-0.01930758,-0.05668522,0.00056340,0.02695231,-0.00742897,0.02070388,-0.01345827,0.20517120,0.03209174,0.02485658,-0.01809287
0.65000000,0.01476875,-0.01947723,-0.05323315,0.00110165,0.02730731,-0.00773049,0.01956248,-0.01010935,0.20772126,0.03278251,0.02128997,-0.01809650
0.66666667,0.01516849,-0.01958693,-0.04978291,0.00164926,0.02760016,-0.00803146,0.01837353,-0.00662509,0.20758654,0.03334999,0.01755113,-0.01807090
0.68333333,0.01554791,-0.01963456,-0.04637823,0.00220425,0.02782807,-0.00833131,0.01714114,-0.00301286,0.20482728,0.03379567,0.01364476,-0.01800684
0.70000000,0.01590495,-0.01961821,-0.04306142,0.00276464,0.02798836,-0.00862945,0.01586805,0.00071973,0.19952928,0.03412130,0.00957807,-0.01790272
0.71666667,0.01623762,-0.01953494,-0.03987300,0.00332932,0.02807853,-0.00892546,0.01455524,0.00463821,0.19180108,0.03437810,0.00536136,-0.01776866
0.73333333,0.01654404,-0.01938162,-0.03685136,0.00389728,0.02809628,-0.00921922,0.01320499,0.00875726,0.18177089,0.03457238,0.00100642,-0.01762187
0.75000000,0.01682240,-0.01915575,-0.03403248,0.00446706,0.02803954,-0.00951065,0.01181817,0.01304490,0.16958391,0.03467802,-0.00347250,-0.01746524
0.76666667,0.01707106,-0.01885621,-0.03144969,0.00503633,0.02790648,-0.00979951,0.01039723,0.01741950,0.15539963,0.03464195,-0.00806099,-0.01728915
0.78333333,0.01728852,-0.01848212,-0.02913346,0.00560290,0.02769557,-0.01008544,0.00894439,0.02187075,0.13938922,0.03447312,-0.01274100,-0.01708494
0.80000000,0.01747346,-0.01803280,-0.02711129,0.00616475,0.02740564,-0.01036806,0.00745999,0.02638814,0.12173335,0.03418048,-0.01749063,-0.01685314
0.81666667,0.01762473,-0.01750732,-0.02540753,0.00672053,0.02703590,-0.01064700,0.00594416,0.03098873,0.10261994,0.03380501,-0.02228674,-0.01659324
0.83333333,0.01774138,-0.01690419,-0.02404333,0.00726982,0.02658597,-0.01092197,0.00439861,0.03570875,0.08224231,0.03340335,-0.02710627,-0.01631045
