t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,0.00000085,-0.00009410,-0.00099484,-0.00002844,0.00000146,-0.00001620,0.00005130,-0.00564618,-0.05969041,-0.00170668,0.00008731,-0.00097170
0.03333333,0.00000368,-0.00027721,-0.00295676,-0.00005592,0.00000680,-0.00004874,0.00017012,-0.01098968,-0.11771472,-0.00164852,0.00032055,-0.00195252
0.05000000,0.00000955,-0.00054417,-0.00585038,-0.00007788,0.00001829,-0.00009768,0.00035393,-0.01602728,-0.17361625,-0.00131760,0.00068990,-0.00293627
0.06666667,0.00001944,-0.00088982,-0.00963356,-0.00010896,0.00003807,-0.00016296,0.00059928,-0.02075670,-0.22698924,-0.00186472,0.00118696,-0.00391696
0.08333333,0.00003422,-0.00130890,-0.01425724,-0.00017779,0.00006814,-0.00024436,0.00090199,-0.02517496,-0.27741810,-0.00412946,0.00180485,-0.00488409
0.10000000,0.00005473,-0.00179590,-0.01966437,-0.00031979,0.00011032,-0.00034154,0.00125945,-0.02927736,-0.32442260,-0.00851960,0.00253193,-0.00582999
0.11666667,0.00008170,-0.00234491,-0.02578736,-0.00056124,0.00016618,-0.00045415,0.00167002,-0.03305746,-0.36736835,-0.01448643,0.00335345,-0.00675532
0.13333333,0.00011583,-0.00294962,-0.03254426,-0.00088463,0.00023702,-0.00058209,0.00213178,-0.03650916,-0.40539347,-0.01940211,0.00425452,-0.00767444
0.15000000,0.00015770,-0.00360236,-0.03984583,-0.00125541,0.00032407,-0.00072535,0.00263886,-0.03955060,-0.43805856,-0.02224496,0.00523068,-0.00859056
0.16666667,0.00020769,-0.00429543,-0.04760002,-0.00164494,0.00042870,-0.00088331,0.00318047,-0.04216584,-0.46519783,-0.02336824,0.00629016,-0.00946972
0.18333333,0.00026617,-0.00502353,-0.05571360,-0.00203513,0.00055204,-0.00105518,0.00375578,-0.04448384,-0.48674080,-0.02340715,0.00741730,-0.01030001
0.20000000,0.00033355,-0.00578172,-0.06409359,-0.00241177,0.00069476,-0.00124058,0.00436862,-0.04651041,-0.50270365,-0.02259231,0.00858564,-0.01110708
0.21666667,0.00041008,-0.00656454,-0.07264854,-0.00276225,0.00085768,-0.00143942,0.00500638,-0.04820097,-0.51317912,-0.02102079,0.00980373,-0.01190659
0.23333333,0.00049583,-0.00736645,-0.08128963,-0.00307625,0.00104173,-0.00165069,0.00565879,-0.04953913,-0.51832566,-0.01882895,0.01107807,-0.01264539
0.25000000,0.00059103,-0.00818374,-0.08993157,-0.00334889,0.00124740,-0.00187351,0.00633342,-0.05062274,-0.51835672,-0.01634460,0.01238132,-0.01333163
0.26666667,0.00069593,-0.00901288,-0.09849337,-0.00357682,0.00147498,-0.00210776,0.00702818,-0.05145674,-0.51353040,-0.01365828,0.01370194,-0.01400897
0.28333333,0.00081043,-0.00984919,-0.10689892,-0.00375612,0.00172519,-0.00235265,0.00771949,-0.05196721,-0.50413956,-0.01073602,0.01506504,-0.01463953
0.30000000,0.00093462,-0.01068968,-0.11507742,-0.00388646,0.00199840,-0.00260711,0.00841629,-0.05225454,-0.49050314,-0.00779401,0.01644986,-0.01520566
0.31666667,0.00106882,-0.01153143,-0.12296368,-0.00396817,0.00229461,-0.00287058,0.00912919,-0.05232249,-0.47295835,-0.00487098,0.01783379,-0.01573921
0.33333333,0.00121292,-0.01237139,-0.13049832,-0.00400196,0.00261419,-0.00314250,0.00982807,-0.05216587,-0.45185396,-0.00199029,0.01923933,-0.01623873
0.35000000,0.00136688,-0.01320646,-0.13762790,-0.00398898,0.00295745,-0.00342210,0.01051310,-0.05178642,-0.42754483,0.00082277,0.02066248,-0.01669350
0.36666667,0.00153092,-0.01403396,-0.14430489,-0.00393109,0.00332444,-0.00370851,0.01119752,-0.05121341,-0.40038719,0.00352435,0.02208801,-0.01709671
0.38333333,0.00170530,-0.01485115,-0.15048769,-0.00383035,0.00371515,-0.00400080,0.01187759,-0.05045021,-0.37073510,0.00610240,0.02351138,-0.01744487
0.40000000,0.00189001,-0.01565528,-0.15614051,-0.00368901,0.00412966,-0.00429838,0.01253551,-0.04950147,-0.33893758,0.00854712,0.02493856,-0.01775962
0.41666667,0.00208509,-0.01644405,-0.16123326,-0.00350957,0.00456803,-0.00460075,0.01317004,-0.04840240,-0.30533643,0.01084088,0.02636930,-0.01804470
0.43333333,0.00229068,-0.01721480,-0.16574140,-0.00329448,0.00503033,-0.00490721,0.01378325,-0.04713659,-0.27026466,0.01298991,0.02780217,-0.01828961
0.45000000,0.00250711,-0.01796482,-0.16964580,-0.00304616,0.00551649,-0.00521688,0.01438477,-0.04570795,-0.23404544,0.01499234,0.02923070,-0.01848411
0.46666667,0.00273466,-0.01869135,-0.17293254,-0.00276709,0.00602644,-0.00552885,0.01496803,-0.04412072,-0.19699130,0.01684756,0.03065362,-0.01862473
0.48333333,0.00297357,-0.01939166,-0.17559272,-0.00245971,0.00656008,-0.00584237,0.01552797,-0.04237953,-0.15940374,0.01855600,0.03207034,-0.01872201
0.50000000,0.00322404,-0.02006341,-0.17762231,-0.00212638,0.00711731,-0.00615687,0.01606217,-0.04051578,-0.12157294,0.02012386,0.03348025,-0.01878759
0.51666667,0.00348632,-0.02070486,-0.17902189,-0.00176928,0.00769802,-0.00647182,0.01657093,-0.03856789,-0.08377760,0.02156004,0.03488281,-0.01882186
0.53333333,0.00376068,-0.02131371,-0.17979655,-0.00139072,0.00830208,-0.00678663,0.01705476,-0.03650530,-0.04628494,0.02285908,0.03627696,-0.01882412
0.55000000,0.00404739,-0.02188741,-0.17995561,-0.00099301,0.00892933,-0.00710073,0.01751417,-0.03431782,-0.00935059,0.02401953,0.03766111,-0.01879325
0.56666667,0.00434671,-0.02242351,-0.17951247,-0.00057840,0.00957957,-0.00741350,0.01794935,-0.03201116,0.02678142,0.02504385,0.03903285,-0.01872673
0.58333333,0.00465891,-0.02291963,-0.17848507,-0.00014914,0.01025255,-0.00772431,0.01836095,-0.02959135,0.06183996,0.02593427,0.04038952,-0.01862437
