t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00000131,-0.00013106,-0.00036028,-0.00030148,-0.00000379,-0.00000097,-0.00007876,-0.00786374,-0.02161698,-0.01808853,-0.00022760,-0.00005796
0.03333333,-0.00000412,-0.00038902,-0.00101758,-0.00083333,-0.00001190,-0.00000306,-0.00016870,-0.01548915,-0.03943304,-0.03191100,-0.00048634,-0.00012577
0.05000000,-0.00000862,-0.00076920,-0.00190764,-0.00153593,-0.00002488,-0.00000638,-0.00027030,-0.02285573,-0.05338440,-0.04215638,-0.00077888,-0.00020004
0.06666667,-0.00001500,-0.00126669,-0.00296618,-0.00235967,-0.00004335,-0.00001098,-0.00038422,-0.02994669,-0.06346696,-0.04942432,-0.00110728,-0.00027747
0.08333333,-0.00002348,-0.00187792,-0.00412983,-0.00326538,-0.00006792,-0.00001690,-0.00051124,-0.03683845,-0.06973220,-0.05434276,-0.00147342,-0.00035861
0.10000000,-0.00003427,-0.00259866,-0.00533690,-0.00422065,-0.00009926,-0.00002420,-0.00065184,-0.04348077,-0.07228228,-0.05731595,-0.00187930,-0.00044424
0.11666667,-0.00004761,-0.00342396,-0.00652814,-0.00519839,-0.00013808,-0.00003297,-0.00080645,-0.04981924,-0.07126474,-0.05866439,-0.00232681,-0.00053606
0.13333333,-0.00006375,-0.00434895,-0.00764742,-0.00617664,-0.00018508,-0.00004322,-0.00097567,-0.05584755,-0.06686711,-0.05869527,-0.00281686,-0.00062981
0.15000000,-0.00008292,-0.00536903,-0.00864226,-0.00713788,-0.00024100,-0.00005485,-0.00115876,-0.06157240,-0.05931146,-0.05767434,-0.00335093,-0.00071834
0.16666667,-0.00010538,-0.00648150,-0.00946438,-0.00806945,-0.00030660,-0.00006777,-0.00135571,-0.06709902,-0.04884908,-0.05589474,-0.00393044,-0.00080344
0.18333333,-0.00013138,-0.00768276,-0.01007003,-0.00896099,-0.00038267,-0.00008196,-0.00156651,-0.07236631,-0.03575560,-0.05349237,-0.00455673,-0.00088816
0.20000000,-0.00016121,-0.00896833,-0.01042035,-0.00980404,-0.00046999,-0.00009744,-0.00179113,-0.07731962,-0.02032621,-0.05058345,-0.00523099,-0.00097554
0.21666667,-0.00019516,-0.01033377,-0.01048161,-0.01059202,-0.00056938,-0.00011415,-0.00203071,-0.08195880,-0.00287163,-0.04727919,-0.00595313,-0.00106087
0.23333333,-0.00023356,-0.01177464,-0.01022545,-0.01131985,-0.00068164,-0.00013203,-0.00228533,-0.08628457,0.01628576,-0.04367071,-0.00672397,-0.00114419
0.25000000,-0.00027674,-0.01328704,-0.00962922,-0.01198385,-0.00080760,-0.00015102,-0.00255455,-0.09033392,0.03680080,-0.03984057,-0.00754417,-0.00122472
0.26666667,-0.00032504,-0.01486760,-0.00867657,-0.01258139,-0.00094809,-0.00017102,-0.00283759,-0.09414212,0.05829336,-0.03585367,-0.00841421,-0.00130112
0.28333333,-0.00037880,-0.01651263,-0.00735762,-0.01311055,-0.00110394,-0.00019195,-0.00313398,-0.09769881,0.08037543,-0.03175057,-0.00933437,-0.00137340
0.30000000,-0.00043839,-0.01821814,-0.00566894,-0.01356994,-0.00127598,-0.00021374,-0.00344359,-0.10099401,0.10265764,-0.02756463,-0.01030474,-0.00144267
0.31666667,-0.00050416,-0.01997982,-0.00361348,-0.01395863,-0.00146506,-0.00023636,-0.00376640,-0.10401822,0.12475524,-0.02332343,-0.01132524,-0.00151070
0.33333333,-0.00057651,-0.02179304,-0.00120043,-0.01427609,-0.00167200,-0.00025976,-0.00410281,-0.10676251,0.14629400,-0.01904973,-0.01239537,-0.00157762
0.35000000,-0.00065582,-0.02365285,0.00155510,-0.01452210,-0.00189760,-0.00028393,-0.00445324,-0.10921857,0.16691565,-0.01476303,-0.01351432,-0.00164327
0.36666667,-0.00074249,-0.02555403,0.00463237,-0.01469672,-0.00214267,-0.00030883,-0.00481777,-0.11137878,0.18628283,-0.01047982,-0.01468085,-0.00170745
0.38333333,-0.00083692,-0.02749106,0.00800547,-0.01480024,-0.00240796,-0.00033441,-0.00519607,-0.11323630,0.20408342,-0.00621454,-0.01589304,-0.00176808
0.40000000,-0.00093946,-0.02945817,0.01164375,-0.01483318,-0.00269418,-0.00036047,-0.00558706,-0.11478511,0.22003414,-0.00198003,-0.01714823,-0.00181791
0.41666667,-0.00105044,-0.03144941,0.01551242,-0.01479624,-0.00300199,-0.00038676,-0.00599057,-0.11602002,0.23388326,0.00221191,-0.01844312,-0.00185109
0.43333333,-0.00117020,-0.03345861,0.01957300,-0.01469033,-0.00333198,-0.00041293,-0.00640775,-0.11693675,0.24541257,0.00634980,-0.01977392,-0.00186296
0.45000000,-0.00129912,-0.03547950,0.02378401,-0.01451657,-0.00368466,-0.00043872,-0.00684313,-0.11753193,0.25443857,0.01042042,-0.02113565,-0.00185777
0.46666667,-0.00143762,-0.03750572,0.02810145,-0.01427629,-0.00406045,-0.00046423,-0.00730201,-0.11780314,0.26081273,0.01441118,-0.02252284,-0.00185772
0.48333333,-0.00158606,-0.03953204,0.03247942,-0.01397122,-0.00445970,-0.00048966,-0.00778331,-0.11782021,0.26442107,0.01829840,-0.02393088,-0.00186792
0.50000000,-0.00174470,-0.04155173,0.03687070,-0.01360294,-0.00488268,-0.00051534,-0.00828390,-0.11749285,0.26518336,0.02209005,-0.02535470,-0.00189503
0.51666667,-0.00191354,-0.04355807,0.04122723,-0.01317324,-0.00532957,-0.00054114,-0.00879204,-0.11681795,0.26305141,0.02577405,-0.02679008,-0.00191283
0.53333333,-0.00209258,-0.04554440,0.04550067,-0.01268414,-0.00580039,-0.00056696,-0.00931148,-0.11579730,0.25800740,0.02933781,-0.02822608,-0.00192076
0.55000000,-0.00228204,-0.04750423,0.04964281,-0.01213782,-0.00629480,-0.00059281,-0.00985886,-0.11443362,0.25006148,0.03276998,-0.02964301,-0.00192742
0.56666667,-0.00248202,-0.04943121,0.05360604,-0.01153666,-0.00681238,-0.00061874,-0.01043349,-0.11273050,0.23924955,0.03606017,-0.03103365,-0.00193228
0.58333333,-0.00269255,-0.05131841,0.05734368,-0.01088264,-0.00735257,-0.00064467,-0.01103345,-0.11064392,0.22563075,0.03923032,-0.03239107,-0.00193001
0.60000000,-0.00291337,-0.05315959,0.06081041,-0.01017838,-0.00791476,-0.00067044,-0.01164824,-0.10820830,0.20928499,0.04224469,-0.03371257,-0.00191284
0.61666667,-0.00314415,-0.05494880,0.06396249,-0.00942661,-0.00849811,-0.00069650,-0.01227775,-0.10543022,0.19031059,0.04509341,-0.03498330,-0.00191985
0.63333333,-0.00338468,-0.05668036,0.06675805,-0.00863026,-0.00910137,-0.00072291,-0.01293306,-0.10231699,0.16882186,0.04776795,-0.03617923,-0.00192594
0.65000000,-0.00363461,-0.05834809,0.06915737,-0.00779136,-0.00972316,-0.00074969,-0.01361289,-0.09882728,0.14494716,0.05031917,-0.03729181,-0.00192828
0.66666667,-0.00389350,-0.05994529,0.07112302,-0.00691132,-0.01036195,-0.00077674,-0.01431393,-0.09492065,0.11882675,0.05278642,-0.03831352,-0.00192135
0.68333333,-0.00416079,-0.06146696,0.07262004,-0.00599363,-0.01101602,-0.00080409,-0.01503496,-0.09068872,0.09061113,0.05504485,-0.03923213,-0.00191255
0.70000000,-0.00443585,-0.06290845,0.07361612,-0.00504176,-0.01168346,-0.00083188,-0.01577465,-0.08614184,0.06045953,0.05709337,-0.04003564,-0.00190690
0.71666667,-0.00471796,-0.06426545,0.07408168,-0.00405923,-0.01236216,-0.00086024,-0.01653142,-0.08129082,0.02853854,0.05893214,-0.04071270,-0.00190686
0.73333333,-0.00500635,-0.06553317,0.07398999,-0.00304814,-0.01304979,-0.00088924,-0.01730487,-0.07609911,-0.00497911,0.06064370,-0.04125086,-0.00190737
0.75000000,-0.00530019,-0.06670632,0.07331729,-0.00200939,-0.01374390,-0.00091899,-0.01809295,-0.07052636,-0.03991402,0.06230197,-0.04164077,-0.00191200
0.76666667,-0.00559859,-0.06778006,0.07204426,-0.00094462,-0.01444187,-0.00094963,-0.01889306,-0.06459415,-0.07599998,0.06386061,-0.04187430,-0.00192237
0.78333333,-0.00590066,-0.06875095,0.07015693,0.00014236,-0.01514098,-0.00098129,-0.01970233,-0.05837712,-0.11291225,0.06519184,-0.04194458,-0.00193889
0.80000000,-0.00620550,-0.06961610,0.06764685,0.00124741,-0.01583841,-0.00101408,-0.02051753,-0.05190523,-0.15031877,0.06627313,-0.04184644,-0.00196132
0.81666667,-0.00651223,-0.07037289,0.06451111,0.00236658,-0.01653131,-0.00104811,-0.02133517,-0.04519173,-0.18788605,0.06711789,-0.04157623,-0.00198934
0.83333333,-0.00682001,-0.07101895,0.06075230,0.00349615,-0.01721674,-0.00108349,-0.02215186,-0.03824997,-0.22528487,0.06773869,-0.04113092,-0.00202516
0.85000000,-0.00712807,-0.07155211,0.05637826,0.00463256,-0.01789176,-0.00112039,-0.02296421,-0.03109331,-0.26219585,0.06814687,-0.04050865,-0.00207245
0.86666667,-0.00743569,-0.07196985,0.05140194,0.00577369,-0.01855343,-0.00115900,-0.02376807,-0.02370311,-0.29831470,0.06842589,-0.03971066,-0.00213193
0.88333333,-0.00774224,-0.07226981,0.04584100,0.00691720,-0.01919889,-0.00119947,-0.02455898,-0.01609470,-0.33335672,0.06856560,-0.03874076,-0.00220425
0.90000000,-0.00804716,-0.07244995,0.03971744,0.00806034,-0.01982535,-0.00124199,-0.02533242,-0.00829159,-0.36706091,0.06853970,-0.03760416,-0.00229062
0.91666667,-0.00834999,-0.07250848,0.03305738,0.00919868,-0.02043014,-0.00128673,-0.02608373,-0.00031683,-0.39918049,0.06824713,-0.03630812,-0.00239146
0.93333333,-0.00865037,-0.07244383,0.02589031,0.01032802,-0.02101075,-0.00133388,-0.02680845,0.00780723,-0.42951269,0.06770271,-0.03486088,-0.00250770
0.95000000,-0.00894800,-0.07225466,0.01824846,0.01144521,-0.02156480,-0.00138361,-0.02750210,0.01605631,-0.45789262,0.06696877,-0.03327240,-0.00264002
0.96666667,-0.00924270,-0.07193991,0.01016633,0.01254790,-0.02209013,-0.00143612,-0.02816050,0.02440357,-0.48418578,0.06609342,-0.03155339,-0.00278845
0.98333333,-0.00953435,-0.07149879,0.00168015,0.01363435,-0.02258473,-0.00149155,-0.02877969,0.03282246,-0.50828771,0.06511321,-0.02971548,-0.00295275
1.00000000,-0.00982293,-0.07093076,-0.00717228,0.01470120,-0.02304682,-0.00155008,-0.02935595,0.04128687,-0.53010456,0.06393166,-0.02777082,-0.00313226
1.01666667,-0.01010848,-0.07023554,-0.01635220,0.01574472,-0.02347483,-0.00161182,-0.02988591,0.04977157,-0.54957983,0.06252586,-0.02573204,-0.00332572
1.03333333,-0.01039110,-0.06941257,-0.02582039,0.01676239,-0.02386739,-0.00167689,-0.03036656,0.05827958,-0.56668797,0.06096890,-0.02361219,-0.00353168
1.05000000,-0.01067093,-0.06846132,-0.03553765,0.01775221,-0.02422336,-0.00174541,-0.03079497,0.06680167,-0.58142840,0.05929122,-0.02142452,-0.00375179
1.06666667,-0.01094815,-0.06738142,-0.04546510,0.01871217,-0.02454183,-0.00181759,-0.03116857,0.07531803,-0.59382305,0.05749262,-0.01918207,-0.00398919
1.08333333,-0.01122296,-0.06617330,-0.05556453,0.01963910,-0.02482209,-0.00189366,-0.03148515,0.08377177,-0.60391368,0.05550360,-0.01689757,-0.00424738
1.10000000,-0.01149556,-0.06483791,-0.06579868,0.02052949,-0.02506361,-0.00197391,-0.03174293,0.09212386,-0.61175900,0.05330389,-0.01458342,-0.00452834
1.11666667,-0.01176615,-0.06337639,-0.07613148,0.02138020,-0.02526611,-0.00205858,-0.03194078,0.10035443,-0.61743214,0.05091506,-0.01225146,-0.00482817
1.13333333,-0.01203495,-0.06179012,-0.08652824,0.02218840,-0.02542945,-0.00214782,-0.03207814,0.10844433,-0.62101795,0.04835692,-0.00991242,-0.00514162
1.15000000,-0.01230214,-0.06008066,-0.09695582,0.02295159,-0.02555367,-0.00224169,-0.03215468,0.11637510,-0.62261060,0.04564800,-0.00757673,-0.00546391
1.16666667,-0.01256789,-0.05824982,-0.10738272,0.02366753,-0.02563900,-0.00234022,-0.03217057,0.12412898,-0.62231113,0.04280540,-0.00525350,-0.00579072
1.18333333,-0.01283232,-0.05629962,-0.11777917,0.02433426,-0.02568576,-0.00244336,-0.03212616,0.13168899,-0.62022548,0.03984518,-0.00295137,-0.00611811
1.20000000,-0.01309555,-0.05423220,-0.12811719,0.02495032,-0.02569444,-0.00255104,-0.03202189,0.13904707,-0.61646233,0.03679809,-0.00067819,-0.00644403
1.21666667,-0.01335762,-0.05204897,-0.13837061,0.02551628,-0.02566564,-0.00266326,-0.03185852,0.14624523,-0.61113167,0.03378432,0.00155984,-0.00677212
1.23333333,-0.01361854,-0.04975170,-0.14851509,0.02603232,-0.02560002,-0.00278009,-0.03163722,0.15326309,-0.60434313,0.03078256,0.00375720,-0.00710571
1.25000000,-0.01387828,-0.04734341,-0.15852799,0.02649710,-0.02549837,-0.00290154,-0.03135901,0.16002634,-0.59620478,0.02770036,0.00590746,-0.00744120
1.26666667,-0.01413676,-0.04482737,-0.16838843,0.02690952,-0.02536155,-0.00302755,-0.03102560,0.16652235,-0.58682179,0.02455220,0.00800586,-0.00777272
1.28333333,-0.01439387,-0.04220707,-0.17807719,0.02726868,-0.02519050,-0.00315796,-0.03063891,0.17273920,-0.57629597,0.02135126,0.01004875,-0.00809528
1.30000000,-0.01464944,-0.03948622,-0.18757663,0.02757390,-0.02498620,-0.00329257,-0.03020108,0.17866562,-0.56472484,0.01810987,0.01203337,-0.00840529
1.31666667,-0.01490329,-0.03666876,-0.19687064,0.02782468,-0.02474966,-0.00343115,-0.02971427,0.18429104,-0.55220114,0.01483910,0.01395782,-0.00870019
1.33333333,-0.01515518,-0.03375885,-0.20594455,0.02802069,-0.02448191,-0.00357345,-0.02918091,0.18960555,-0.53881246,0.01154916,0.01582129,-0.00897893
1.35000000,-0.01540486,-0.03076086,-0.21478502,0.02816175,-0.02418399,-0.00371920,-0.02860327,0.19459992,-0.52464080,0.00824971,0.01762324,-0.00924011
1.36666667,-0.01565202,-0.02767837,-0.22338000,0.02824923,-0.02385696,-0.00386810,-0.02798323,0.19932597,-0.50976253,0.00503292,0.01936261,-0.00948054
1.38333333,-0.01589632,-0.02451520,-0.23171861,0.02828427,-0.02350188,-0.00401982,-0.02732285,0.20377321,-0.49424828,0.00188524,0.02103928,-0.00969859
1.40000000,-0.01613741,-0.02127545,-0.23979101,0.02826783,-0.02311980,-0.00417401,-0.02662420,0.20793148,-0.47816280,-0.00120406,0.02265372,-0.00989344
1.41666667,-0.01637490,-0.01796359,-0.24758834,0.02820058,-0.02271177,-0.00433030,-0.02588994,0.21178090,-0.46156491,-0.00425180,0.02420748,-0.01006321
1.43333333,-0.01660840,-0.01458488,-0.25510260,0.02808268,-0.02227876,-0.00448831,-0.02512291,0.21527922,-0.44450790,-0.00728921,0.02570279,-0.01020675
1.45000000,-0.01683753,-0.01114474,-0.26232658,0.02791445,-0.02182173,-0.00464767,-0.02432614,0.21842154,-0.42703935,-0.01030684,0.02714244,-0.01032555
1.46666667,-0.01706190,-0.00764872,-0.26925375,0.02769635,-0.02134158,-0.00480808,-0.02350268,0.22120359,-0.40920163,-0.01329621,0.02852960,-0.01042271
1.48333333,-0.01728111,-0.00410251,-0.27587821,0.02742896,-0.02083916,-0.00496918,-0.02265413,0.22362158,-0.39103192,-0.01624972,0.02986571,-0.01049447
1.50000000,-0.01749474,-0.00051191,-0.28219460,0.02711298,-0.02031534,-0.00513051,-0.02178195,0.22567234,-0.37256269,-0.01916057,0.03115206,-0.01053620
1.51666667,-0.01770234,0.00311717,-0.28819802,0.02674920,-0.01977094,-0.00529155,-0.02088760,0.22735315,-0.35382178,-0.02202263,0.03239024,-0.01054269
1.53333333,-0.01790349,0.00677907,-0.29388398,0.02633885,-0.01920674,-0.00545177,-0.01997330,0.22868446,-0.33483270,-0.02481140,0.03358261,-0.01051299
1.55000000,-0.01809775,0.01046852,-0.29924833,0.02588351,-0.01862349,-0.00561063,-0.01904163,0.22969206,-0.31561503,-0.02750329,0.03473204,-0.01044835
1.56666667,-0.01828472,0.01418013,-0.30428720,0.02538469,-0.01802186,-0.00576768,-0.01809554,0.23037270,-0.29618456,-0.03010480,0.03584156,-0.01035216
1.58333333,-0.01846403,0.01790839,-0.30899693,0.02484380,-0.01740248,-0.00592260,-0.01713885,0.23072376,-0.27655371,-0.03262078,0.03691508,-0.01023386
1.60000000,-0.01863531,0.02164772,-0.31337403,0.02426221,-0.01676591,-0.00607518,-0.01617410,0.23074324,-0.25673167,-0.03505443,0.03795536,-0.01009953
1.61666667,-0.01879822,0.02539243,-0.31741513,0.02364127,-0.01611268,-0.00622522,-0.01520255,0.23042978,-0.23672482,-0.03740782,0.03896397,-0.00994935
1.63333333,-0.01895239,0.02913679,-0.32111695,0.02298227,-0.01544330,-0.00637251,-0.01422556,0.22978261,-0.21653713,-0.03968219,0.03994244,-0.00978314
1.65000000,-0.01909746,0.03287500,-0.32447623,0.02228653,-0.01475826,-0.00651682,-0.01324471,0.22880150,-0.19617027,-0.04187795,0.04089238,-0.00959968
1.66666667,-0.01923308,0.03660124,-0.32748975,0.02155537,-0.01405803,-0.00665789,-0.01226155,0.22748679,-0.17562410,-0.04399482,0.04181521,-0.00939778
1.68333333,-0.01935891,0.04030963,-0.33015427,0.02079010,-0.01334302,-0.00679546,-0.01127761,0.22583931,-0.15489692,-0.04603231,0.04271224,-0.00917592
1.70000000,-0.01947460,0.04399417,-0.33246653,0.01999202,-0.01261368,-0.00692914,-0.01029356,0.22385345,-0.13398570,-0.04799157,0.04358448,-0.00892840
1.71666667,-0.01957982,0.04764848,-0.33442320,0.01916238,-0.01187039,-0.00705857,-0.00931253,0.22151102,-0.11288646,-0.04987645,0.04443351,-0.00865480
1.73333333,-0.01967433,0.05126645,-0.33602092,0.01830254,-0.01111349,-0.00718358,-0.00834048,0.21882800,-0.09159451,-0.05167954,0.04526154,-0.00836912
1.75000000,-0.01975790,0.05484253,-0.33725626,0.01741406,-0.01034334,-0.00730406,-0.00737870,0.21584201,-0.07010476,-0.05338905,0.04606926,-0.00807299
1.76666667,-0.01983029,0.05837116,-0.33812575,0.01649848,-0.00956025,-0.00741992,-0.00642849,0.21255574,-0.04841190,-0.05500641,0.04685706,-0.00776811
1.78333333,-0.01989124,0.06184682,-0.33862585,0.01555734,-0.00876455,-0.00753108,-0.00549115,0.20897232,-0.02651070,-0.05653254,0.04762526,-0.00745620
1.80000000,-0.01994053,0.06526399,-0.33875295,0.01459213,-0.00795657,-0.00763751,-0.00456798,0.20509532,-0.00439623,-0.05796809,0.04837405,-0.00713905
1.81666667,-0.01997791,0.06861719,-0.33850341,0.01360439,-0.00713661,-0.00773920,-0.00366027,0.20092866,0.01793587,-0.05931305,0.04910341,-0.00681846
1.83333333,-0.02000315,0.07190096,-0.33787384,0.01259563,-0.00630499,-0.00783617,-0.00276933,0.19647666,0.04047174,-0.06056739,0.04981317,-0.00649626
1.85000000,-0.02001600,0.07510990,-0.33686171,0.01156736,-0.00546204,-0.00792849,-0.00189663,0.19174400,0.06316084,-0.06173083,0.05050305,-0.00617526
1.86666667,-0.02001623,0.07823862,-0.33546540,0.01052113,-0.00460810,-0.00801634,-0.00104471,0.18673573,0.08595143,-0.06280291,0.05117225,-0.00586343
1.88333333,-0.02000364,0.08128182,-0.33368415,0.00945846,-0.00374351,-0.00810003,-0.00021598,0.18145730,0.10879235,-0.06378298,0.05181983,-0.00556677
1.90000000,-0.01997804,0.08423424,-0.33151806,0.00838092,-0.00286863,-0.00817991,0.00058745,0.17591448,0.13163349,-0.06467045,0.05244465,-0.00528893
1.91666667,-0.01993926,0.08709071,-0.32896809,0.00729006,-0.00198387,-0.00825633,0.00136406,0.17011339,0.15442626,-0.06546466,0.05304557,-0.00503003
1.93333333,-0.01988711,0.08984616,-0.32603597,0.00618746,-0.00108962,-0.00832964,0.00211254,0.16406050,0.17712401,-0.06616492,0.05362119,-0.00478955
1.95000000,-0.01982146,0.09249562,-0.32272421,0.00507470,-0.00018634,-0.00840017,0.00283168,0.15776259,0.19968250,-0.06677050,0.05416994,-0.00456695
1.96666667,-0.01974214,0.09503472,-0.31903604,0.00395322,0.00072552,-0.00846824,0.00352034,0.15125522,0.22206016,-0.06728947,0.05469006,-0.00436193
1.98333333,-0.01964903,0.09745934,-0.31497534,0.00282444,0.00164545,-0.00853417,0.00417749,0.14455490,0.24421834,-0.06772349,0.05517959,-0.00417432
2.00000000,-0.01954203,0.09976549,-0.31054661,0.00168983,0.00257290,-0.00859830,0.00480209,0.13766762,0.26612160,-0.06807081,0.05563619,-0.00400445
2.01666667,-0.01942104,0.10194929,-0.30575492,0.00055084,0.00350729,-0.00866097,0.00539272,0.13059973,0.28773768,-0.06832970,0.05605700,-0.00385522
2.03333333,-0.01928602,0.10400700,-0.30060580,-0.00059103,0.00444798,-0.00872261,0.00594803,0.12335796,0.30903775,-0.06849880,0.05643899,-0.00372919
2.05000000,-0.01913695,0.10593501,-0.29510526,-0.00173425,0.00539426,-0.00878364,0.00646687,0.11594940,0.32999620,-0.06857684,0.05677897,-0.00362834
2.06666667,-0.01897384,0.10772987,-0.28925967,-0.00287729,0.00634538,-0.00884452,0.00694815,0.10838148,0.35059067,-0.06856281,0.05707362,-0.00355398
2.08333333,-0.01879674,0.10938828,-0.28307574,-0.00401861,0.00730053,-0.00890572,0.00739098,0.10066197,0.37080203,-0.06845583,0.05731961,-0.00350691
2.10000000,-0.01860573,0.11090711,-0.27656046,-0.00515665,0.00825885,-0.00896770,0.00779452,0.09279897,0.39061411,-0.06825531,0.05751346,-0.00348780
2.11666667,-0.01840092,0.11228342,-0.26972106,-0.00628985,0.00921940,-0.00903094,0.00815807,0.08480088,0.41001333,-0.06796090,0.05765168,-0.00349659
2.13333333,-0.01818246,0.11351444,-0.26256496,-0.00741666,0.01018119,-0.00909588,0.00848102,0.07667638,0.42898872,-0.06757232,0.05773070,-0.00353334
2.15000000,-0.01795053,0.11459760,-0.25509972,-0.00853550,0.01114317,-0.00916298,0.00876285,0.06843446,0.44753166,-0.06708951,0.05774699,-0.00359743
2.16666667,-0.01770536,0.11553053,-0.24733303,-0.00964482,0.01210422,-0.00923266,0.00900320,0.06008436,0.46563516,-0.06651260,0.05769707,-0.00368819
2.18333333,-0.01744720,0.11631079,-0.23927265,-0.01074297,0.01306320,-0.00930531,0.00920194,0.05162055,0.48329395,-0.06583613,0.05757768,-0.00380388
2.20000000,-0.01717634,0.11693618,-0.23092644,-0.01182830,0.01401886,-0.00938132,0.00935880,0.04305207,0.50050403,-0.06506079,0.05738530,-0.00394393
2.21666667,-0.01689312,0.11740469,-0.22230229,-0.01289922,0.01496992,-0.00946104,0.00947366,0.03438931,0.51726235,-0.06418808,0.05711658,-0.00410746
2.23333333,-0.01659789,0.11771455,-0.21340812,-0.01395413,0.01591506,-0.00954482,0.00954629,0.02564281,0.53356643,-0.06321940,0.05676805,-0.00429440
2.25000000,-0.01629109,0.11786421,-0.20425189,-0.01499147,0.01685286,-0.00963298,0.00957672,0.01682329,0.54941419,-0.06215609,0.05633663,-0.00450314
2.26666667,-0.01597313,0.11785266,-0.19484159,-0.01600995,0.01778190,-0.00972580,0.00956516,0.00795864,0.56480351,-0.06101485,0.05581953,-0.00473226
2.28333333,-0.01564453,0.11767923,-0.18518523,-0.01700837,0.01870068,-0.00982355,0.00951174,-0.00093298,0.57973202,-0.05980114,0.05521391,-0.00498047
2.30000000,-0.01530578,0.11734344,-0.17529084,-0.01798549,0.01960769,-0.00992643,0.00941702,-0.00984199,0.59419678,-0.05851155,0.05451765,-0.00524543
