t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00002211,-0.00013315,-0.00020089,-0.00031287,-0.00006627,0.00000307,-0.00132631,-0.00798928,-0.01205311,-0.01877226,-0.00397606,0.00018422
0.03333333,-0.00006532,-0.00039619,-0.00054256,-0.00086597,-0.00019555,0.00000925,-0.00259436,-0.01578847,-0.02049557,-0.03318604,-0.00775715,0.00036824
0.05000000,-0.00012863,-0.00078530,-0.00096579,-0.00159875,-0.00038450,0.00001854,-0.00380360,-0.02336836,-0.02537281,-0.04396641,-0.01133719,0.00054743
0.06666667,-0.00021098,-0.00129588,-0.00141292,-0.00246032,-0.00062969,0.00003096,-0.00495200,-0.03067791,-0.02677672,-0.05169406,-0.01471301,0.00072187
0.08333333,-0.00031135,-0.00192334,-0.00182855,-0.00340867,-0.00092768,0.00004669,-0.00603921,-0.03770861,-0.02484129,-0.05690059,-0.01788116,0.00089962
0.10000000,-0.00042876,-0.00266311,-0.00216015,-0.00440932,-0.00127494,0.00006601,-0.00706478,-0.04445358,-0.01973775,-0.06003777,-0.02083991,0.00108857
0.11666667,-0.00056226,-0.00351179,-0.00235856,-0.00543493,-0.00166800,0.00008930,-0.00802871,-0.05097206,-0.01167011,-0.06153506,-0.02358909,0.00129322
0.13333333,-0.00071098,-0.00446611,-0.00237850,-0.00646372,-0.00210338,0.00011672,-0.00893051,-0.05726374,-0.00087034,-0.06172461,-0.02613163,0.00150297
0.15000000,-0.00087411,-0.00552185,-0.00217890,-0.00747779,-0.00257771,0.00014829,-0.00976972,-0.06326447,0.01240602,-0.06084006,-0.02847142,0.00171061
0.16666667,-0.00105089,-0.00667486,-0.00172337,-0.00846276,-0.00308766,0.00018413,-0.01054653,-0.06897231,0.02787549,-0.05909280,-0.03061197,0.00192163
0.18333333,-0.00124064,-0.00792099,-0.00098077,-0.00940718,-0.00362996,0.00022440,-0.01126120,-0.07438601,0.04522212,-0.05665761,-0.03255745,0.00214036
0.20000000,-0.00144274,-0.00925611,0.00007448,-0.01030198,-0.00420144,0.00026928,-0.01191418,-0.07950495,0.06410917,-0.05367816,-0.03431262,0.00237000
0.21666667,-0.00165662,-0.01067691,0.00146209,-0.01114026,-0.00479900,0.00031896,-0.01250593,-0.08438168,0.08418401,-0.05028411,-0.03588273,0.00261125
0.23333333,-0.00188174,-0.01218020,0.00319578,-0.01191669,-0.00541966,0.00037353,-0.01303644,-0.08902790,0.10508335,-0.04656999,-0.03727369,0.00285916
0.25000000,-0.00211757,-0.01376249,0.00528314,-0.01262713,-0.00606052,0.00043299,-0.01350618,-0.09343211,0.12643881,-0.04260734,-0.03849107,0.00310937
0.26666667,-0.00236360,-0.01541997,0.00772566,-0.01326843,-0.00671876,0.00049732,-0.01391663,-0.09758307,0.14788244,-0.03845482,-0.03953986,0.00336076
0.28333333,-0.00261934,-0.01714850,0.01051885,-0.01383825,-0.00739164,0.00056646,-0.01426953,-0.10146992,0.16905233,-0.03416084,-0.04042452,0.00361226
0.30000000,-0.00288427,-0.01894358,0.01365240,-0.01433488,-0.00807650,0.00064032,-0.01456677,-0.10508226,0.18959787,-0.02976505,-0.04114900,0.00386246
0.31666667,-0.00315786,-0.02080038,0.01711045,-0.01475718,-0.00877072,0.00071878,-0.01481035,-0.10841031,0.20918471,-0.02530050,-0.04171653,0.00410961
0.33333333,-0.00343952,-0.02271375,0.02087194,-0.01510449,-0.00947174,0.00080167,-0.01500234,-0.11144486,0.22749913,-0.02079462,-0.04212976,0.00435195
0.35000000,-0.00372863,-0.02467821,0.02491103,-0.01537649,-0.01017701,0.00088880,-0.01514487,-0.11417747,0.24425191,-0.01627050,-0.04239053,0.00458796
0.36666667,-0.00402449,-0.02668801,0.02919752,-0.01557321,-0.01088403,0.00097997,-0.01523992,-0.11660052,0.25918135,-0.01174785,-0.04249999,0.00481682
0.38333333,-0.00432629,-0.02873713,0.03369738,-0.01569498,-0.01159027,0.00107498,-0.01528922,-0.11870718,0.27205560,-0.00724395,-0.04245847,0.00503968
0.40000000,-0.00463316,-0.03081934,0.03837325,-0.01574236,-0.01229323,0.00117378,-0.01529344,-0.12049152,0.28267428,-0.00277418,-0.04226518,0.00526498
0.41666667,-0.00494410,-0.03292824,0.04318499,-0.01571616,-0.01299035,0.00127642,-0.01525483,-0.12194854,0.29086933,0.00164762,-0.04191898,0.00549885
0.43333333,-0.00525813,-0.03505729,0.04809019,-0.01561741,-0.01367908,0.00138268,-0.01518003,-0.12307417,0.29650508,0.00600825,-0.04141869,0.00572487
0.45000000,-0.00557418,-0.03720087,0.05304473,-0.01544751,-0.01435685,0.00149218,-0.01507243,-0.12392632,0.29947785,0.01028350,-0.04076400,0.00593369
0.46666667,-0.00589106,-0.03935313,0.05800324,-0.01520805,-0.01502112,0.00160441,-0.01493252,-0.12449230,0.29971493,0.01446440,-0.03995521,0.00611646
0.48333333,-0.00620749,-0.04150700,0.06291970,-0.01490058,-0.01566932,0.00171879,-0.01475990,-0.12469681,0.29717307,0.01855155,-0.03899213,0.00626995
0.50000000,-0.00652194,-0.04365545,0.06774779,-0.01452690,-0.01629890,0.00183540,-0.01454766,-0.12454009,0.29183670,0.02253015,-0.03787485,0.00643195
0.51666667,-0.00683302,-0.04579155,0.07244135,-0.01408906,-0.01690717,0.00195409,-0.01430769,-0.12402335,0.28371584,0.02638661,-0.03659599,0.00658989
0.53333333,-0.00713934,-0.04790850,0.07695477,-0.01358928,-0.01749144,0.00207451,-0.01404594,-0.12314874,0.27284394,0.03010860,-0.03515410,0.00672945
0.55000000,-0.00743945,-0.04999977,0.08124335,-0.01303009,-0.01804903,0.00219629,-0.01376389,-0.12192693,0.25927553,0.03367974,-0.03355149,0.00685051
0.56666667,-0.00773186,-0.05205859,0.08526357,-0.01241380,-0.01857736,0.00231929,-0.01345923,-0.12033292,0.24308409,0.03711017,-0.03179362,0.00696508
0.58333333,-0.00801475,-0.05407838,0.08897342,-0.01174299,-0.01907411,0.00244326,-0.01311636,-0.11837200,0.22435964,0.04038676,-0.02989468,0.00706619
0.60000000,-0.00828658,-0.05605286,0.09233259,-0.01102039,-0.01953665,0.00256779,-0.01275196,-0.11605027,0.20320687,0.04349848,-0.02783855,0.00714402
0.61666667,-0.00854589,-0.05797601,0.09530271,-0.01024890,-0.01996240,0.00269256,-0.01237070,-0.11337459,0.17974304,0.04643587,-0.02562602,0.00720297
0.63333333,-0.00879124,-0.05984079,0.09784752,-0.00943000,-0.02034891,0.00281741,-0.01197123,-0.11027349,0.15409630,0.04928328,-0.02326581,0.00725151
0.65000000,-0.00902111,-0.06164119,0.09993302,-0.00856647,-0.02069396,0.00294254,-0.01154770,-0.10679759,0.12640405,0.05196476,-0.02077273,0.00731061
