t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00003141,-0.00006620,0.00122942,-0.00023481,-0.00013532,0.00000536,-0.00188455,-0.00397213,0.07376507,-0.01408875,-0.00811933,0.00032151
0.03333333,-0.00009260,-0.00019822,0.00369328,-0.00065143,-0.00039666,0.00001614,-0.00365141,-0.00788622,0.14783393,-0.02499711,-0.01568054,0.00064294
0.05000000,-0.00018237,-0.00039526,0.00737789,-0.00120753,-0.00077516,0.00003251,-0.00529868,-0.01167862,0.22108652,-0.03336566,-0.02271072,0.00096753
0.06666667,-0.00029990,-0.00065756,0.01225171,-0.00186686,-0.00126244,0.00005468,-0.00682585,-0.01538453,0.29245322,-0.03955853,-0.02923807,0.00129532
0.08333333,-0.00044470,-0.00098604,0.01826661,-0.00259835,-0.00185055,0.00008288,-0.00823356,-0.01903440,0.36094110,-0.04388752,-0.03528975,0.00162598
0.10000000,-0.00061651,-0.00138204,0.02535957,-0.00337542,-0.00253195,0.00011730,-0.00952295,-0.02265318,0.42565615,-0.04662027,-0.04088938,0.00195907
0.11666667,-0.00081521,-0.00184707,0.03345458,-0.00417529,-0.00329941,0.00015815,-0.01069526,-0.02626080,0.48582068,-0.04798614,-0.04605534,0.00229528
0.13333333,-0.00104070,-0.00238261,0.04246481,-0.00497847,-0.00414586,0.00020566,-0.01175100,-0.02987271,0.54078482,-0.04818139,-0.05079861,0.00263837
0.15000000,-0.00129285,-0.00298890,0.05229482,-0.00577023,-0.00506436,0.00026006,-0.01269107,-0.03343738,0.59003234,-0.04749201,-0.05512538,0.00298956
0.16666667,-0.00157139,-0.00366517,0.06284284,-0.00653930,-0.00604800,0.00032146,-0.01351728,-0.03691862,0.63318088,-0.04612563,-0.05903865,0.00334332
0.18333333,-0.00187586,-0.00441012,0.07400285,-0.00727636,-0.00708987,0.00038994,-0.01423283,-0.04031106,0.66997728,-0.04419853,-0.06253780,0.00370003
0.20000000,-0.00220562,-0.00522401,0.08566667,-0.00797079,-0.00818299,0.00046571,-0.01484222,-0.04373125,0.70028890,-0.04163342,-0.06561845,0.00406853
