t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00003802,-0.00002690,0.00101357,-0.00008531,-0.00015779,-0.00000903,-0.00228120,-0.00161391,0.06081407,-0.00511869,-0.00946718,-0.00054204
0.03333333,-0.00011259,-0.00008023,0.00297958,-0.00023597,-0.00046256,-0.00002713,-0.00445526,-0.00319006,0.11796145,-0.00903993,-0.01828620,-0.00108728
0.05000000,-0.00022260,-0.00015978,0.00582619,-0.00043537,-0.00090398,-0.00005431,-0.00652168,-0.00473282,0.17080124,-0.01196445,-0.02648474,-0.00163716
0.06666667,-0.00036718,-0.00026544,0.00947268,-0.00066972,-0.00147205,-0.00009080,-0.00847696,-0.00624461,0.21879984,-0.01406301,-0.03408332,-0.00220440
0.08333333,-0.00054554,-0.00039712,0.01383127,-0.00092765,-0.00215700,-0.00013704,-0.01031561,-0.00772650,0.26153608,-0.01548015,-0.04109539,-0.00280149
0.10000000,-0.00075681,-0.00055622,0.01880905,-0.00119859,-0.00294918,-0.00019341,-0.01203068,-0.00927080,0.29870208,-0.01626318,-0.04752772,-0.00342655
0.11666667,-0.00100000,-0.00074295,0.02430981,-0.00147472,-0.00383896,-0.00025979,-0.01361599,-0.01081086,0.33010037,-0.01657996,-0.05338160,-0.00404664
0.13333333,-0.00127425,-0.00095684,0.03023579,-0.00175018,-0.00481684,-0.00033594,-0.01508667,-0.01231354,0.35563772,-0.01654498,-0.05866602,-0.00465565
0.15000000,-0.00157844,-0.00119732,0.03648926,-0.00202023,-0.00587332,-0.00042239,-0.01643899,-0.01377763,0.37531654,-0.01622796,-0.06337963,-0.00529749
0.16666667,-0.00191103,-0.00146550,0.04297397,-0.00228045,-0.00699878,-0.00051940,-0.01766296,-0.01531314,0.38922462,-0.01564773,-0.06751559,-0.00595714
0.18333333,-0.00227012,-0.00176046,0.04959636,-0.00252804,-0.00818348,-0.00062660,-0.01875484,-0.01680214,0.39752384,-0.01490010,-0.07106760,-0.00659415
0.20000000,-0.00265382,-0.00208115,0.05626663,-0.00276084,-0.00941759,-0.00074431,-0.01973362,-0.01824380,0.40043858,-0.01402558,-0.07402852,-0.00724911
0.21666667,-0.00305971,-0.00242730,0.06289958,-0.00297737,-0.01069120,-0.00087285,-0.02058950,-0.01968761,0.39824442,-0.01306460,-0.07639478,-0.00792342
0.23333333,-0.00348497,-0.00279853,0.06941529,-0.00317660,-0.01199436,-0.00101194,-0.02131474,-0.02113127,0.39125730,-0.01204305,-0.07816436,-0.00857730
0.25000000,-0.00392658,-0.00319355,0.07573962,-0.00335775,-0.01331701,-0.00116158,-0.02191958,-0.02252183,0.37982378,-0.01097675,-0.07933008,-0.00922981
0.26666667,-0.00438134,-0.00361107,0.08180461,-0.00352040,-0.01464904,-0.00132210,-0.02240826,-0.02385967,0.36431236,-0.00988753,-0.07988928,-0.00989875
0.28333333,-0.00484565,-0.00405131,0.08754868,-0.00366540,-0.01598051,-0.00149320,-0.02277198,-0.02523645,0.34510577,-0.00885026,-0.07985116,-0.01054612
0.30000000,-0.00531566,-0.00451294,0.09291679,-0.00379263,-0.01730163,-0.00167463,-0.02300875,-0.02655777,0.32259477,-0.00780743,-0.07922691,-0.01117507
0.31666667,-0.00578754,-0.00499468,0.09786046,-0.00390222,-0.01860260,-0.00186650,-0.02312848,-0.02782489,0.29717276,-0.00677495,-0.07801389,-0.01180618
0.33333333,-0.00625737,-0.00549530,0.10233779,-0.00399457,-0.01987381,-0.00206874,-0.02313159,-0.02903920,0.26923157,-0.00576622,-0.07622462,-0.01242997
0.35000000,-0.00672110,-0.00601500,0.10631330,-0.00407177,-0.02110603,-0.00228083,-0.02301335,-0.03028407,0.23915807,-0.00488530,-0.07388194,-0.01301820
0.36666667,-0.00717469,-0.00655262,0.10975788,-0.00413414,-0.02229041,-0.00250231,-0.02277394,-0.03147580,0.20733172,-0.00402277,-0.07100812,-0.01357479
0.38333333,-0.00761411,-0.00710712,0.11264861,-0.00418218,-0.02341858,-0.00273300,-0.02240945,-0.03261630,0.17412259,-0.00319051,-0.06763267,-0.01411793
0.40000000,-0.00803545,-0.00767751,0.11496854,-0.00421652,-0.02448258,-0.00297272,-0.02192075,-0.03370752,0.13988987,-0.00239761,-0.06377940,-0.01464613
0.41666667,-0.00843511,-0.00826289,0.11670655,-0.00423797,-0.02547470,-0.00322110,-0.02131526,-0.03475150,0.10498105,-0.00165134,-0.05946369,-0.01514929
0.43333333,-0.00880965,-0.00886245,0.11785708,-0.00424739,-0.02638782,-0.00347754,-0.02059046,-0.03575030,0.06973106,-0.00095729,-0.05472171,-0.01561324
0.45000000,-0.00915586,-0.00947545,0.11841996,-0.00424575,-0.02721542,-0.00374137,-0.01974650,-0.03670594,0.03446193,-0.00031921,-0.04958802,-0.01603522
0.46666667,-0.00947085,-0.01010173,0.11840015,-0.00423487,-0.02795154,-0.00401194,-0.01878405,-0.03764975,-0.00051760,0.00021066,-0.04409802,-0.01641536
0.48333333,-0.00975203,-0.01074106,0.11780754,-0.00421622,-0.02859086,-0.00428857,-0.01770380,-0.03857557,-0.03491251,0.00065543,-0.03828856,-0.01675395
0.50000000,-0.00999717,-0.01139307,0.11665779,-0.00419077,-0.02912868,-0.00457061,-0.01650657,-0.03947190,-0.06837554,0.00104349,-0.03219779,-0.01705139
