t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,0.00002573,-0.00010203,-0.00017961,-0.00024013,0.00007744,-0.00000484,0.00154363,-0.00612165,-0.01077640,-0.01440801,0.00464669,-0.00029019
0.03333333,0.00007575,-0.00030441,-0.00048299,-0.00066576,0.00022775,-0.00001476,0.00300311,-0.01214755,-0.01820006,-0.02553782,0.00901866,-0.00059351
0.05000000,0.00014860,-0.00060442,-0.00085512,-0.00123040,0.00044610,-0.00003004,0.00437623,-0.01801503,-0.02231483,-0.03387791,0.01310111,-0.00090788
0.06666667,0.00024278,-0.00099822,-0.00124244,-0.00189457,0.00072742,-0.00005088,0.00566165,-0.02365638,-0.02320759,-0.03984966,0.01688124,-0.00122964
0.08333333,0.00035678,-0.00148197,-0.00159351,-0.00262563,0.00106653,-0.00007759,0.00685692,-0.02906448,-0.02100417,-0.04386223,0.02034925,-0.00156419
0.10000000,0.00048911,-0.00205195,-0.00185957,-0.00339680,0.00145807,-0.00011059,0.00795964,-0.03424031,-0.01586514,-0.04626831,0.02349793,-0.00191793
0.11666667,0.00063828,-0.00270621,-0.00199504,-0.00418745,0.00189668,-0.00015019,0.00896597,-0.03928153,-0.00798139,-0.04743549,0.02632438,-0.00228664
0.13333333,0.00080279,-0.00344270,-0.00195793,-0.00498065,0.00237695,-0.00019669,0.00987349,-0.04417836,0.00243003,-0.04758668,0.02882722,-0.00266917
0.15000000,0.00098125,-0.00425813,-0.00171025,-0.00576229,0.00289345,-0.00025029,0.01068186,-0.04884906,0.01512977,-0.04689067,0.03100585,-0.00306178
0.16666667,0.00117231,-0.00514892,-0.00121844,-0.00652090,0.00344079,-0.00031112,0.01139132,-0.05327346,0.02984888,-0.04550641,0.03286096,-0.00346071
0.18333333,0.00137468,-0.00611152,-0.00045386,-0.00724733,0.00401360,-0.00037927,0.01200213,-0.05745126,0.04629207,-0.04357148,0.03439451,-0.00386481
0.20000000,0.00158712,-0.00714237,0.00060694,-0.00793429,0.00460656,-0.00045481,0.01251438,-0.06138279,0.06414547,-0.04119917,0.03560943,-0.00427432
0.21666667,0.00180841,-0.00823884,0.00198196,-0.00857626,0.00521442,-0.00053773,0.01292686,-0.06512517,0.08308110,-0.03849569,0.03651006,-0.00468539
0.23333333,0.00203731,-0.00939830,0.00368360,-0.00916896,0.00583202,-0.00062792,0.01323903,-0.06868143,0.10276172,-0.03553371,0.03710108,-0.00509351
0.25000000,0.00227261,-0.01061787,0.00571860,-0.00970903,0.00645427,-0.00072526,0.01345159,-0.07204192,0.12284597,-0.03236982,0.03738709,-0.00549796
0.26666667,0.00251308,-0.01189441,0.00808804,-0.01019388,0.00707617,-0.00082961,0.01356571,-0.07519719,0.14299346,-0.02905101,0.03737262,-0.00589807
0.28333333,0.00275746,-0.01322452,0.01078745,-0.01062161,0.00769277,-0.00094078,0.01358278,-0.07813814,0.16286989,-0.02561620,0.03706214,-0.00629244
0.30000000,0.00300447,-0.01460452,0.01380701,-0.01099081,0.00829922,-0.00105855,0.01350432,-0.08085608,0.18215184,-0.02209779,0.03645997,-0.00667943
0.31666667,0.00325276,-0.01603048,0.01713177,-0.01130055,0.00889072,-0.00118270,0.01333180,-0.08334282,0.20053123,-0.01852276,0.03557015,-0.00705793
