t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,0.00003662,-0.00008838,-0.00042349,-0.00020202,0.00010210,-0.00000778,0.00219720,-0.00530270,-0.02540961,-0.01212102,0.00612606,-0.00046673
0.03333333,0.00010834,-0.00026293,-0.00121561,-0.00055856,0.00030141,-0.00002367,0.00430802,-0.01048295,-0.04752422,-0.02139226,0.01195879,-0.00095099
0.05000000,0.00021345,-0.00052035,-0.00231908,-0.00102887,0.00059265,-0.00004803,0.00632709,-0.01548164,-0.06619808,-0.02821821,0.01747521,-0.00145207
0.06666667,0.00035012,-0.00085623,-0.00367524,-0.00157799,0.00097022,-0.00008120,0.00824906,-0.02023616,-0.08134371,-0.03294594,0.02265608,-0.00196649
0.08333333,0.00051639,-0.00126603,-0.00522487,-0.00217699,0.00142823,-0.00012342,0.01006893,-0.02473419,-0.09292939,-0.03593796,0.02748481,-0.00249016
0.10000000,0.00071034,-0.00174633,-0.00690913,-0.00280359,0.00196054,-0.00017514,0.01178444,-0.02903588,-0.10097572,-0.03759137,0.03194503,-0.00303340
0.11666667,0.00092998,-0.00229441,-0.00867030,-0.00344049,0.00256083,-0.00023679,0.01339152,-0.03317913,-0.10555142,-0.03820690,0.03602765,-0.00359811
0.13333333,0.00117337,-0.00290762,-0.01045253,-0.00407361,0.00322272,-0.00030874,0.01488565,-0.03715639,-0.10676865,-0.03797628,0.03972807,-0.00418023
0.15000000,0.00143856,-0.00358168,-0.01220245,-0.00469034,0.00393980,-0.00039119,0.01626246,-0.04086600,-0.10477813,-0.03698785,0.04304465,-0.00477201
0.16666667,0.00172370,-0.00431217,-0.01386977,-0.00528047,0.00470565,-0.00048412,0.01751946,-0.04429092,-0.09976403,-0.03538535,0.04597690,-0.00535983
0.18333333,0.00202704,-0.00509578,-0.01540769,-0.00583679,0.00551385,-0.00058761,0.01865742,-0.04749410,-0.09193919,-0.03334990,0.04852353,-0.00595312
0.20000000,0.00234693,-0.00593000,-0.01677338,-0.00635429,0.00635801,-0.00070180,0.01967399,-0.05051887,-0.08154034,-0.03101239,0.05068875,-0.00655598
0.21666667,0.00268175,-0.00681224,-0.01792822,-0.00682909,0.00723188,-0.00082680,0.02056665,-0.05335827,-0.06882376,-0.02844017,0.05247897,-0.00716631
0.23333333,0.00302997,-0.00773978,-0.01883814,-0.00725821,0.00812933,-0.00096257,0.02133342,-0.05600545,-0.05406098,-0.02568880,0.05390151,-0.00777824
0.25000000,0.00339010,-0.00870873,-0.01947373,-0.00763920,0.00904437,-0.00110892,0.02197292,-0.05839052,-0.03753528,-0.02278781,0.05496442,-0.00838213
0.26666667,0.00376072,-0.00971502,-0.01981044,-0.00797029,0.00997112,-0.00126564,0.02248629,-0.06050375,-0.01953816,-0.01978013,0.05567557,-0.00897770
0.28333333,0.00414051,-0.01075501,-0.01982863,-0.00825047,0.01090388,-0.00143259,0.02287582,-0.06237558,-0.00036657,-0.01671130,0.05604322,-0.00956972
0.30000000,0.00452816,-0.01182570,-0.01951368,-0.00847939,0.01183705,-0.00160950,0.02314334,-0.06404739,0.01967997,-0.01361941,0.05607644,-0.01015188
0.31666667,0.00492238,-0.01292388,-0.01885626,-0.00865698,0.01276524,-0.00179605,0.02329081,-0.06551365,0.04028062,-0.01052256,0.05578405,-0.01071967
0.33333333,0.00532188,-0.01404619,-0.01785276,-0.00878341,0.01368315,-0.00199186,0.02332031,-0.06676924,0.06109240,-0.00743575,0.05517427,-0.01127054
