t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00001950,-0.00008544,-0.00074820,-0.00019394,-0.00004948,-0.00001589,-0.00117028,-0.00512661,-0.04489198,-0.01163616,-0.00296906,-0.00095315
0.03333333,-0.00005645,-0.00025210,-0.00223381,-0.00053176,-0.00014210,-0.00004781,-0.00222080,-0.01001672,-0.08913464,-0.02026957,-0.00555687,-0.00191645
0.05000000,-0.00010866,-0.00049531,-0.00443621,-0.00097195,-0.00027159,-0.00009582,-0.00315113,-0.01466286,-0.13213590,-0.02641173,-0.00776732,-0.00288458
0.06666667,-0.00017393,-0.00081017,-0.00732560,-0.00148034,-0.00043175,-0.00015988,-0.00396143,-0.01906041,-0.17334387,-0.03050464,-0.00960588,-0.00385303
0.08333333,-0.00025001,-0.00119170,-0.01086381,-0.00202909,-0.00061652,-0.00023990,-0.00465248,-0.02320709,-0.21225633,-0.03292674,-0.01107938,-0.00481775
0.10000000,-0.00033466,-0.00163499,-0.01500524,-0.00259569,-0.00081998,-0.00033572,-0.00522584,-0.02710239,-0.24842826,-0.03399956,-0.01219560,-0.00577383
0.11666667,-0.00042572,-0.00213523,-0.01969793,-0.00316217,-0.00103629,-0.00044699,-0.00568431,-0.03074727,-0.28147757,-0.03399420,-0.01296164,-0.00671017
0.13333333,-0.00052108,-0.00268785,-0.02488460,-0.00371434,-0.00125986,-0.00057325,-0.00602942,-0.03414368,-0.31108824,-0.03313819,-0.01338992,-0.00761768
0.15000000,-0.00061870,-0.00328850,-0.03050387,-0.00424118,-0.00148534,-0.00071393,-0.00626141,-0.03729432,-0.33701193,-0.03162090,-0.01349768,-0.00849085
0.16666667,-0.00071661,-0.00393308,-0.03649126,-0.00473427,-0.00170774,-0.00086842,-0.00638036,-0.04020237,-0.35906715,-0.02959953,-0.01330412,-0.00932635
0.18333333,-0.00081296,-0.00461628,-0.04278035,-0.00518470,-0.00192225,-0.00103638,-0.00638983,-0.04278285,-0.37713706,-0.02704302,-0.01282321,-0.01013828
0.20000000,-0.00090616,-0.00533340,-0.04930378,-0.00558655,-0.00212417,-0.00121740,-0.00629965,-0.04506154,-0.39116574,-0.02413186,-0.01205819,-0.01092357
0.21666667,-0.00099476,-0.00608135,-0.05599416,-0.00593822,-0.00230897,-0.00141087,-0.00611436,-0.04712527,-0.40115350,-0.02112485,-0.01102326,-0.01167025
0.23333333,-0.00107737,-0.00685721,-0.06278495,-0.00623901,-0.00247262,-0.00161636,-0.00583180,-0.04897718,-0.40715152,-0.01807575,-0.00974531,-0.01238729
0.25000000,-0.00115264,-0.00765819,-0.06961121,-0.00648894,-0.00261144,-0.00183319,-0.00545087,-0.05062048,-0.40925563,-0.01502801,-0.00824845,-0.01306141
0.26666667,-0.00121945,-0.00848038,-0.07641022,-0.00668697,-0.00272189,-0.00206078,-0.00498364,-0.05198463,-0.40760048,-0.01191726,-0.00653776,-0.01369823
0.28333333,-0.00127692,-0.00932083,-0.08312206,-0.00683406,-0.00280049,-0.00229825,-0.00444048,-0.05312581,-0.40235330,-0.00886414,-0.00462063,-0.01427951
0.30000000,-0.00132411,-0.01017723,-0.08969002,-0.00693236,-0.00284426,-0.00254510,-0.00381688,-0.05408195,-0.39370831,-0.00593954,-0.00252493,-0.01482830
0.31666667,-0.00136010,-0.01104726,-0.09606102,-0.00698415,-0.00285053,-0.00280094,-0.00311380,-0.05485574,-0.38188130,-0.00315116,-0.00026978,-0.01535290
0.33333333,-0.00138417,-0.01192861,-0.10218582,-0.00699180,-0.00281674,-0.00306515,-0.00234343,-0.05545005,-0.36710465,-0.00050451,0.00213758,-0.01583762
0.35000000,-0.00139579,-0.01281808,-0.10801928,-0.00695702,-0.00274044,-0.00333686,-0.00151967,-0.05581567,-0.34962295,0.00204102,0.00469198,-0.01627006
0.36666667,-0.00139435,-0.01371350,-0.11352047,-0.00688261,-0.00261949,-0.00361524,-0.00063884,-0.05601969,-0.32968920,0.00441888,0.00737322,-0.01665174
0.38333333,-0.00137911,-0.01461267,-0.11865278,-0.00677133,-0.00245208,-0.00389985,0.00030287,-0.05606495,-0.30756155,0.00663236,0.01016208,-0.01700733
0.40000000,-0.00134936,-0.01551335,-0.12338392,-0.00662586,-0.00223658,-0.00419013,0.00129970,-0.05595457,-0.28350035,0.00868519,0.01304742,-0.01732863
0.41666667,-0.00130464,-0.01641326,-0.12768598,-0.00644884,-0.00197146,-0.00448539,0.00233189,-0.05569196,-0.25776590,0.01058179,0.01602440,-0.01761012
0.43333333,-0.00124452,-0.01731002,-0.13153533,-0.00624278,-0.00165531,-0.00478518,0.00339331,-0.05527716,-0.23061652,0.01232799,0.01908416,-0.01786434
0.45000000,-0.00116848,-0.01820144,-0.13491261,-0.00601021,-0.00128692,-0.00508891,0.00448266,-0.05472668,-0.20230691,0.01392433,0.02221691,-0.01808565
0.46666667,-0.00107593,-0.01908531,-0.13780263,-0.00575353,-0.00086520,-0.00539589,0.00559994,-0.05404426,-0.17308701,0.01537703,0.02541332,-0.01826651
0.48333333,-0.00096614,-0.01995940,-0.14019428,-0.00547505,-0.00038924,-0.00570548,0.00674591,-0.05323394,-0.14320091,0.01669235,0.02866436,-0.01841056
0.50000000,-0.00083840,-0.02082149,-0.14208041,-0.00517700,0.00014176,-0.00601696,0.00791556,-0.05230008,-0.11288605,0.01787605,0.03196160,-0.01851406
0.51666667,-0.00069201,-0.02166939,-0.14345771,-0.00486148,0.00072845,-0.00632959,0.00910123,-0.05124728,-0.08237262,0.01893391,0.03529811,-0.01857504
0.53333333,-0.00052628,-0.02250092,-0.14432660,-0.00453052,0.00137139,-0.00664274,0.01029700,-0.05008041,-0.05188297,0.01987120,0.03866749,-0.01860155
0.55000000,-0.00034053,-0.02331394,-0.14469106,-0.00418606,0.00207104,-0.00695593,0.01149869,-0.04880458,-0.02163122,0.02069320,0.04206376,-0.01860090
0.56666667,-0.00013404,-0.02410638,-0.14455853,-0.00382996,0.00282776,-0.00726865,0.01270378,-0.04742516,0.00817719,0.02140466,0.04548118,-0.01857301
0.58333333,0.00009395,-0.02487623,-0.14393975,-0.00346401,0.00364181,-0.00758039,0.01390984,-0.04594771,0.03734229,0.02201014,0.04891397,-0.01851734
0.60000000,0.00034419,-0.02562156,-0.14284976,-0.00308991,0.00451334,-0.00789064,0.01511445,-0.04437796,0.06560896,0.02251375,0.05235602,-0.01843338
0.61666667,0.00061741,-0.02634054,-0.14130792,-0.00270931,0.00544240,-0.00819886,0.01631519,-0.04272185,0.09271733,0.02291939,0.05580063,-0.01832070
0.63333333,0.00091431,-0.02703144,-0.13933752,-0.00232380,0.00642891,-0.00850452,0.01750969,-0.04098546,0.11843241,0.02323069,0.05924043,-0.01817895
0.65000000,0.00123555,-0.02769263,-0.13696532,-0.00193489,0.00747267,-0.00880708,0.01869557,-0.03917503,0.14254681,0.02345095,0.06266723,-0.01800784
0.66666667,0.00158172,-0.02832263,-0.13422103,-0.00154407,0.00857329,-0.00910596,0.01987119,-0.03729694,0.16488270,0.02358318,0.06607187,-0.01780424
0.68333333,0.00195341,-0.02892010,-0.13113685,-0.00115276,0.00973023,-0.00940036,0.02103980,-0.03535760,0.18529308,0.02363030,0.06944332,-0.01755594
0.70000000,0.00235119,-0.02948384,-0.12774688,-0.00076232,0.01094273,-0.00968962,0.02220339,-0.03336354,0.20366233,0.02359499,0.07277033,-0.01727128
0.71666667,0.00277552,-0.03001279,-0.12408666,-0.00037410,0.01220987,-0.00997319,0.02336148,-0.03132131,0.21990592,0.02347977,0.07604150,-0.01695505
0.73333333,0.00322674,-0.03050607,-0.12019263,0.00001063,0.01353052,-0.01025051,0.02451241,-0.02923748,0.23396983,0.02328711,0.07924507,-0.01660844
0.75000000,0.00370504,-0.03096293,-0.11610163,0.00039063,0.01490333,-0.01052112,0.02565379,-0.02711864,0.24582908,0.02301960,0.08236839,-0.01623554
0.76666667,0.00421044,-0.03138279,-0.11185049,0.00076470,0.01632674,-0.01078459,0.02678290,-0.02497130,0.25548605,0.02267981,0.08539827,-0.01584025
0.78333333,0.00474279,-0.03176524,-0.10747557,0.00113170,0.01779895,-0.01104059,0.02789674,-0.02280195,0.26296848,0.02227036,0.08832095,-0.01542562
0.80000000,0.00530179,-0.03210933,-0.10301238,0.00149062,0.01931792,-0.01128866,0.02899398,-0.02057774,0.26832705,0.02180048,0.09112121,-0.01498459
0.81666667,0.00588704,-0.03241388,-0.09849524,0.00184057,0.02088129,-0.01152808,0.03007743,-0.01828049,0.27163297,0.02127447,0.09378063,-0.01450246
0.83333333,0.00649806,-0.03267879,-0.09395700,0.00218047,0.02248642,-0.01175828,0.03114850,-0.01597345,0.27297543,0.02068243,0.09628220,-0.01398592
0.85000000,0.00713420,-0.03290424,-0.08942875,0.00250930,0.02413042,-0.01197877,0.03220584,-0.01367119,0.27245902,0.02002692,0.09861119,-0.01344133
0.86666667,0.00779463,-0.03309053,-0.08493961,0.00282610,0.02581022,-0.01218909,0.03324658,-0.01137990,0.27020132,0.01931250,0.10075571,-0.01286843
0.88333333,0.00847839,-0.03323809,-0.08051658,0.00313000,0.02752253,-0.01238879,0.03426803,-0.00910557,0.26633029,0.01854352,0.10270451,-0.01226858
0.90000000,0.00918437,-0.03334746,-0.07618436,0.00342022,0.02926391,-0.01257747,0.03526744,-0.00685405,0.26098217,0.01772452,0.10444694,-0.01164318
0.91666667,0.00991135,-0.03341930,-0.07196529,0.00369604,0.03103071,-0.01275458,0.03624398,-0.00463094,0.25429928,0.01686001,0.10597084,-0.01098448
0.93333333,0.01065807,-0.03345434,-0.06787925,0.00395683,0.03281905,-0.01291946,0.03719836,-0.00244164,0.24642805,0.01595448,0.10726315,-0.01028478
0.95000000,0.01142320,-0.03345341,-0.06394362,0.00420205,0.03462488,-0.01307153,0.03813042,-0.00029134,0.23751719,0.01501243,0.10831320,-0.00954807
0.96666667,0.01220539,-0.03341689,-0.06017332,0.00443157,0.03644402,-0.01321039,0.03903925,0.00184755,0.22771615,0.01405973,0.10911235,-0.00878522
0.98333333,0.01300321,-0.03334507,-0.05658073,0.00464536,0.03827218,-0.01333581,0.03992256,0.00397891,0.21717361,0.01310152,0.10965492,-0.00800598
1.00000000,0.01381518,-0.03323853,-0.05317582,0.00484321,0.04010503,-0.01344759,0.04077633,0.00608477,0.20603620,0.01212793,0.10993856,-0.00721237
1.01666667,0.01463977,-0.03309844,-0.04996613,0.00502460,0.04193822,-0.01354557,0.04159643,0.00812823,0.19444736,0.01111903,0.10996201,-0.00640696
1.03333333,0.01547539,-0.03292604,-0.04695686,0.00518911,0.04376742,-0.01362965,0.04237887,0.01010490,0.18254632,0.01008230,0.10972524,-0.00559186
1.05000000,0.01632048,-0.03272262,-0.04415098,0.00533646,0.04558830,-0.01369975,0.04311979,0.01201076,0.17046720,0.00902452,0.10922942,-0.00476879
1.06666667,0.01717346,-0.03248950,-0.04154930,0.00546644,0.04739657,-0.01375581,0.04381552,0.01384209,0.15833826,0.00795208,0.10847675,-0.00393926
1.08333333,0.01803280,-0.03222805,-0.03915058,0.00557896,0.04918800,-0.01379779,0.04446281,0.01559549,0.14628115,0.00687074,0.10747024,-0.00310320
1.10000000,0.01889699,-0.03193965,-0.03695168,0.00567402,0.05095841,-0.01382563,0.04505859,0.01726795,0.13441044,0.00578604,0.10621386,-0.00226078
1.11666667,0.01976461,-0.03162573,-0.03494765,0.00575171,0.05270374,-0.01383931,0.04559965,0.01885675,0.12283294,0.00470288,0.10471326,-0.00141413
1.13333333,0.02063427,-0.03128771,-0.03313188,0.00581216,0.05442002,-0.01383888,0.04608269,0.02035950,0.11164745,0.00362591,0.10297547,-0.00056676
1.15000000,0.02150467,-0.03092705,-0.03149626,0.00585561,0.05610344,-0.01382444,0.04650464,0.02177415,0.10094430,0.00255941,0.10100870,0.00027807
1.16666667,0.02237458,-0.03054520,-0.03003130,0.00588232,0.05775034,-0.01379614,0.04686267,0.02309899,0.09080499,0.00150743,0.09882217,0.00111707
1.18333333,0.02324286,-0.03014363,-0.02872629,0.00589263,0.05935722,-0.01375417,0.04715420,0.02433267,0.08130209,0.00047357,0.09642603,0.00194685
1.20000000,0.02410848,-0.02972381,-0.02756946,0.00588694,0.06092078,-0.01369879,0.04737695,0.02547410,0.07249889,-0.00053882,0.09383113,0.00276411
1.21666667,0.02497046,-0.02928722,-0.02654814,0.00586566,0.06243788,-0.01363030,0.04752903,0.02652255,0.06444939,-0.00152653,0.09104887,0.00356574
