t,x,y,z,roll,pitch,heading,u,v,w,p,q,r,lon,lat,left,right,bow_ver,bow_hor,stern_ver,stern_hor,elevator,rudder,
0.95000000,0.00554762,0.00000002,0.31701535,-0.00000033,-0.00619193,6.28318423,0.01915445,-0.00000008,0.37054586,-0.00000072,-0.00481902,-0.00000104,0.00000000,0.00000005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.00000000,0.00639061,0.00000003,0.33554822,-0.00000037,-0.00643289,6.28318418,0.01997450,-0.00000007,0.35422594,-0.00000074,-0.00452474,-0.00000101,0.00000000,0.00000006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.05000000,0.00727538,0.00000003,0.35326557,-0.00000041,-0.00665912,6.28318412,0.02066722,-0.00000006,0.33815831,-0.00000075,-0.00421493,-0.00000099,0.00000000,0.00000007,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.10000000,0.00819613,0.00000003,0.37018000,-0.00000044,-0.00686987,6.28318408,0.02123921,-0.00000005,0.32232992,-0.00000077,-0.00389084,-0.00000097,0.00000000,0.00000007,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.15000000,0.00914735,0.00000003,0.38630341,-0.00000048,-0.00706441,6.28318403,0.02169707,-0.00000004,0.30672810,-0.00000078,-0.00355360,-0.00000095,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.20000000,0.01012383,0.00000004,0.40164709,-0.00000052,-0.00724209,6.28318398,0.02204739,-0.00000003,0.29134056,-0.00000079,-0.00320419,-0.00000093,0.00000000,0.00000009,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.25000000,0.01112068,0.00000004,0.41622172,-0.00000056,-0.00740230,6.28318393,0.02229672,-0.00000001,0.27615537,-0.00000080,-0.00284355,-0.00000091,0.00000000,0.00000010,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.30000000,0.01213327,0.00000005,0.43003736,-0.00000060,-0.00754448,6.28318389,0.02245157,0.00000000,0.26116091,-0.00000081,-0.00247247,-0.00000090,0.00000000,0.00000011,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.35000000,0.01315730,0.00000006,0.44310351,-0.00000064,-0.00766810,6.28318384,0.02251843,-0.00000001,0.24634588,-0.00000081,-0.00209170,-0.00000088,0.00000000,0.00000012,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.40000000,0.01418874,0.00000006,0.45542907,-0.00000068,-0.00777269,6.28318380,0.02250374,0.00000001,0.23169927,-0.00000081,-0.00170188,-0.00000086,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.45000000,0.01522385,0.00000007,0.46702243,-0.00000072,-0.00785778,6.28318376,0.02241388,0.00000001,0.21721035,-0.00000082,-0.00130362,-0.00000085,0.00000000,0.00000014,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.50000000,0.01625917,0.00000008,0.47789142,-0.00000076,-0.00792296,6.28318371,0.02225521,0.00000001,0.20286864,-0.00000081,-0.00089743,-0.00000083,0.00000000,0.00000015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.55000000,0.01729153,0.00000008,0.48804335,-0.00000080,-0.00796783,6.28318367,0.02203404,0.00000002,0.18866391,-0.00000081,-0.00048379,-0.00000082,0.00000000,0.00000016,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.60000000,0.01831804,0.00000009,0.49748502,-0.00000084,-0.00799202,6.28318363,0.02175665,0.00000003,0.17458614,-0.00000081,-0.00006311,-0.00000081,0.00000000,0.00000016,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.65000000,0.01933607,0.00000010,0.50622275,-0.00000088,-0.00799518,6.28318359,0.02142925,0.00000004,0.16062553,-0.00000080,0.00036424,-0.00000080,0.00000000,0.00000017,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.70000000,0.02034329,0.00000010,0.51426233,-0.00000092,-0.00797697,6.28318355,0.02105805,0.00000005,0.14676327,-0.00000079,0.00079825,-0.00000079,0.00000000,0.00000018,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.75000000,0.02133762,0.00000011,0.52160866,-0.00000096,-0.00793705,6.28318351,0.02064920,0.00000007,0.13298994,-0.00000078,0.00123856,-0.00000078,0.00000000,0.00000019,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.80000000,0.02231727,0.00000012,0.52826614,-0.00000100,-0.00787512,6.28318347,0.02020883,0.00000009,0.11929806,-0.00000076,0.00168480,-0.00000077,0.00000000,0.00000020,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.85000000,0.02328071,0.00000013,0.53423882,-0.00000104,-0.00779088,6.28318343,0.01974307,0.00000012,0.10568028,-0.00000075,0.00213662,-0.00000076,0.00000000,0.00000021,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.90000000,0.02422667,0.00000014,0.53953036,-0.00000107,-0.00768405,6.28318339,0.01925805,0.00000014,0.09212939,-0.00000073,0.00259370,-0.00000076,0.00000000,0.00000022,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1.95000000,0.02515414,0.00000015,0.54414410,-0.00000111,-0.00755437,6.28318336,0.01875991,0.00000017,0.07863831,-0.00000071,0.00305573,-0.00000075,0.00000000,0.00000023,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.00000000,0.02606241,0.00000016,0.54808299,-0.00000115,-0.00740158,6.28318332,0.01825478,0.00000020,0.06520011,-0.00000069,0.00352245,-0.00000075,0.00000000,0.00000023,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.05000000,0.02695100,0.00000017,0.55134966,-0.00000118,-0.00722546,6.28318328,0.01774881,0.00000024,0.05180793,-0.00000067,0.00399359,-0.00000074,0.00000000,0.00000024,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.10000000,0.02781970,0.00000018,0.55394640,-0.00000121,-0.00702578,6.28318324,0.01724814,0.00000028,0.03845502,-0.00000064,0.00446892,-0.00000074,0.00000000,0.00000025,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.15000000,0.02866857,0.00000020,0.55587516,-0.00000124,-0.00680233,6.28318321,0.01675893,0.00000032,0.02513476,-0.00000061,0.00494821,-0.00000074,0.00000000,0.00000026,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.20000000,0.02949795,0.00000021,0.55713757,-0.00000128,-0.00655492,6.28318317,0.01628739,0.00000036,0.01184056,-0.00000059,0.00543125,-0.00000074,0.00000000,0.00000027,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.25000000,0.03030842,0.00000023,0.55773492,-0.00000130,-0.00628336,6.28318313,0.01583970,0.00000041,-0.00143404,-0.00000056,0.00591785,-0.00000074,0.00000000,0.00000027,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.30000000,0.03110084,0.00000025,0.55766820,-0.00000133,-0.00598747,6.28318309,0.01542212,0.00000045,-0.01469537,-0.00000052,0.00640679,-0.00000074,0.00000000,0.00000028,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.35000000,0.03187633,0.00000027,0.55693806,-0.00000136,-0.00566713,6.28318306,0.01504113,0.00000050,-0.02794236,-0.00000049,0.00688972,-0.00000074,0.00000000,0.00000029,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.40000000,0.03263630,0.00000029,0.55554523,-0.00000138,-0.00532264,6.28318302,0.01470292,0.00000055,-0.04116955,-0.00000046,0.00736711,-0.00000074,0.00000000,0.00000029,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.45000000,0.03338239,0.00000031,0.55349069,-0.00000140,-0.00495429,6.28318298,0.01441362,0.00000060,-0.05437147,-0.00000042,0.00783944,-0.00000074,0.00000000,0.00000030,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.50000000,0.03411653,0.00000034,0.55077572,-0.00000143,-0.00456232,6.28318295,0.01417928,0.00000065,-0.06754268,-0.00000038,0.00830718,-0.00000074,0.00000000,0.00000031,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.55000000,0.03484089,0.00000036,0.54740186,-0.00000144,-0.00414696,6.28318291,0.01400586,0.00000070,-0.08067773,-0.00000035,0.00877082,-0.00000074,0.00000000,0.00000031,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.60000000,0.03555791,0.00000039,0.54337091,-0.00000146,-0.00370842,6.28318287,0.01389925,0.00000075,-0.09377118,-0.00000031,0.00923084,-0.00000074,0.00000000,0.00000032,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.65000000,0.03627025,0.00000042,0.53868496,-0.00000148,-0.00324687,6.28318283,0.01386524,0.00000081,-0.10681759,-0.00000027,0.00968772,-0.00000074,0.00000000,0.00000033,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.70000000,0.03698085,0.00000045,0.53334636,-0.00000149,-0.00276249,6.28318280,0.01390957,0.00000086,-0.11981154,-0.00000023,0.01014191,-0.00000073,0.00000000,0.00000033,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.75000000,0.03769288,0.00000048,0.52735773,-0.00000150,-0.00225539,6.28318276,0.01403789,0.00000091,-0.13274760,-0.00000019,0.01059386,-0.00000073,0.00000000,0.00000034,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.80000000,0.03840974,0.00000052,0.52072195,-0.00000151,-0.00172570,6.28318272,0.01425578,0.00000096,-0.14562037,-0.00000015,0.01104400,-0.00000073,0.00000000,0.00000035,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.85000000,0.03913509,0.00000055,0.51344217,-0.00000152,-0.00117350,6.28318268,0.01456872,0.00000101,-0.15842441,-0.00000011,0.01149276,-0.00000073,0.00000000,0.00000035,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.90000000,0.03987282,0.00000059,0.50552181,-0.00000152,-0.00059886,6.28318265,0.01498214,0.00000106,-0.17115434,-0.00000007,0.01194051,-0.00000073,0.00000000,0.00000036,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
2.95000000,0.04062706,0.00000063,0.49696454,-0.00000153,-0.00000184,6.28318261,0.01550139,0.00000111,-0.18380476,-0.00000003,0.01238761,-0.00000073,0.00000000,0.00000037,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.00000000,0.04140214,0.00000067,0.48777430,-0.00000153,0.00061754,6.28318257,0.01613172,0.00000116,-0.19637027,0.00000001,0.01283441,-0.00000072,0.00000000,0.00000037,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.05000000,0.04220266,0.00000071,0.47795529,-0.00000153,0.00125927,6.28318253,0.01687831,0.00000120,-0.20884552,0.00000005,0.01328120,-0.00000072,0.00000000,0.00000038,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.10000000,0.04303343,0.00000075,0.46751196,-0.00000153,0.00192333,6.28318250,0.01774627,0.00000125,-0.22122513,0.00000009,0.01372825,-0.00000071,0.00000000,0.00000039,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.15000000,0.04389947,0.00000079,0.45644902,-0.00000152,0.00260974,6.28318246,0.01874061,0.00000129,-0.23350378,0.00000013,0.01417579,-0.00000071,0.00000000,0.00000040,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.20000000,0.04480603,0.00000084,0.44477143,-0.00000152,0.00331853,6.28318242,0.01986625,0.00000134,-0.24567613,0.00000017,0.01462402,-0.00000070,0.00000000,0.00000040,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.25000000,0.04575857,0.00000088,0.43248439,-0.00000151,0.00404973,6.28318239,0.02112802,0.00000138,-0.25773691,0.00000021,0.01507308,-0.00000069,0.00000000,0.00000041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.30000000,0.04676277,0.00000093,0.41959337,-0.00000150,0.00480338,6.28318235,0.02253066,0.00000142,-0.26968084,0.00000024,0.01552309,-0.00000069,0.00000000,0.00000042,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.35000000,0.04782452,0.00000098,0.40610408,-0.00000148,0.00557954,6.28318232,0.02407880,0.00000145,-0.28150270,0.00000028,0.01597411,-0.00000068,0.00000000,0.00000043,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.40000000,0.04894991,0.00000103,0.39202244,-0.00000147,0.00637824,6.28318228,0.02577697,0.00000149,-0.29319730,0.00000031,0.01642618,-0.00000067,0.00000000,0.00000044,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.45000000,0.05014523,0.00000107,0.37735466,-0.00000146,0.00719955,6.28318225,0.02762956,0.00000152,-0.30475949,0.00000035,0.01687928,-0.00000066,0.00000000,0.00000045,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.50000000,0.05141697,0.00000112,0.36210713,-0.00000144,0.00804352,6.28318221,0.02964088,0.00000155,-0.31618418,0.00000038,0.01733334,-0.00000065,0.00000000,0.00000046,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.55000000,0.05277180,0.00000118,0.34628651,-0.00000142,0.00891018,6.28318218,0.03181506,0.00000158,-0.32746633,0.00000041,0.01778826,-0.00000063,0.00000000,0.00000047,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.60000000,0.05421661,0.00000123,0.32989967,-0.00000140,0.00979960,6.28318215,0.03415615,0.00000161,-0.33860098,0.00000044,0.01824390,-0.00000062,0.00000000,0.00000049,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
