t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00004375,-0.00014426,-0.00104758,-0.00000000,-0.00000000,-0.00002177,-0.00262495,-0.00865531,-0.06285458,-0.00000005,-0.00000000,-0.00130591
0.03333333,-0.00012761,-0.00042691,-0.00310546,0.00000492,-0.00000055,-0.00006517,-0.00503145,-0.01695948,-0.12347286,0.00029545,-0.00003282,-0.00260452
0.05000000,-0.00024800,-0.00084207,-0.00613431,0.00001854,-0.00000167,-0.00012995,-0.00722200,-0.02490882,-0.18173149,0.00081724,-0.00006756,-0.00388657
0.06666667,-0.00040139,-0.00138381,-0.01009321,0.00004370,-0.00000301,-0.00021569,-0.00919930,-0.03250129,-0.23753459,0.00150958,-0.00008030,-0.00514440
0.08333333,-0.00058429,-0.00204624,-0.01494007,0.00008248,-0.00000390,-0.00032189,-0.01096622,-0.03973590,-0.29081283,0.00232677,-0.00005348,-0.00637173
0.10000000,-0.00079328,-0.00282352,-0.02063205,0.00013635,-0.00000348,-0.00044794,-0.01252570,-0.04661260,-0.34152287,0.00323216,0.00002447,-0.00756356
0.11666667,-0.00102500,-0.00370984,-0.02712602,0.00020629,-0.00000079,-0.00059321,-0.01388082,-0.05313212,-0.38964538,0.00419616,0.00015998,-0.00871608
0.13333333,-0.00127616,-0.00469945,-0.03437887,0.00029286,0.00000516,-0.00075699,-0.01503473,-0.05929602,-0.43518328,0.00519438,0.00035484,-0.00982647
0.15000000,-0.00154354,-0.00578670,-0.04234788,0.00039632,0.00001532,-0.00093853,-0.01599065,-0.06510662,-0.47815957,0.00620769,0.00060682,-0.01089283
0.16666667,-0.00182397,-0.00696597,-0.05099099,0.00051666,0.00003057,-0.00113709,-0.01675187,-0.07056677,-0.51861511,0.00722038,0.00091032,-0.01191408
0.18333333,-0.00211439,-0.00823176,-0.06026710,0.00065365,0.00005164,-0.00135191,-0.01732180,-0.07567971,-0.55660609,0.00821954,0.00125708,-0.01288980
0.20000000,-0.00241179,-0.00957864,-0.07013623,0.00080689,0.00007906,-0.00158223,-0.01770395,-0.08044959,-0.59220165,0.00919546,0.00163638,-0.01382015
