t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,0.00002787,-0.00008895,-0.00104758,0.00016040,0.00005268,-0.00000373,0.00167195,-0.00533690,-0.06285456,0.00962410,0.00316095,-0.00022354
0.03333333,0.00008239,-0.00026420,-0.00310540,0.00045690,0.00015582,-0.00001140,0.00327780,-0.01049502,-0.12347121,0.01779015,0.00618812,-0.00046129
0.05000000,0.00016211,-0.00052429,-0.00613405,0.00086662,0.00030693,-0.00002304,0.00481173,-0.01552248,-0.18172509,0.02458318,0.00906645,-0.00070264
0.06666667,0.00026537,-0.00086881,-0.01009244,0.00136787,0.00050326,-0.00003887,0.00626903,-0.02046555,-0.23751920,0.03007511,0.01177912,-0.00095999
0.08333333,0.00039035,-0.00129625,-0.01493168,0.00190661,0.00074176,-0.00005937,0.00764599,-0.02524858,-0.29038535,0.03232506,0.01430821,-0.00124991
0.10000000,0.00053519,-0.00180263,-0.02057980,0.00235405,0.00101887,-0.00008476,0.00894371,-0.02973646,-0.33893840,0.02684730,0.01662356,-0.00155475
0.11666667,0.00069791,-0.00238559,-0.02693743,0.00257783,0.00133100,-0.00011507,0.01015458,-0.03407855,-0.38152890,0.01342908,0.01872317,-0.00186286
0.13333333,0.00087652,-0.00303955,-0.03387465,0.00256832,0.00167434,-0.00015091,0.01127511,-0.03816343,-0.41631796,-0.00056786,0.02059506,-0.00220366
0.15000000,0.00106918,-0.00375672,-0.04125090,0.00238453,0.00204481,-0.00019241,0.01230744,-0.04189132,-0.44266427,-0.01102320,0.02222189,-0.00254660
0.16666667,0.00127407,-0.00453240,-0.04892862,0.00206826,0.00243851,-0.00023980,0.01324393,-0.04543983,-0.46074677,-0.01897028,0.02361498,-0.00290011
0.18333333,0.00148950,-0.00535846,-0.05677515,0.00166109,0.00285143,-0.00029359,0.01408597,-0.04858718,-0.47086018,-0.02442271,0.02476867,-0.00327827
0.20000000,0.00171395,-0.00623036,-0.06466427,0.00119128,0.00327970,-0.00035345,0.01483163,-0.05152367,-0.47339311,-0.02817798,0.02569013,-0.00363433
0.21666667,0.00194597,-0.00714255,-0.07247745,0.00068369,0.00371955,-0.00041997,0.01547832,-0.05416780,-0.46880736,-0.03044262,0.02638623,-0.00402265
0.23333333,0.00218435,-0.00809000,-0.08010472,0.00015841,0.00416732,-0.00049269,0.01602846,-0.05652832,-0.45761872,-0.03150060,0.02686313,-0.00438168
0.25000000,0.00242796,-0.00906998,-0.08744532,-0.00037089,0.00461951,-0.00057175,0.01648118,-0.05872177,-0.44038025,-0.03173787,0.02713035,-0.00474783
0.26666667,0.00267582,-0.01007665,-0.09440805,-0.00089012,0.00507278,-0.00065734,0.01683597,-0.06054690,-0.41766823,-0.03113045,0.02719838,-0.00512532
0.28333333,0.00292713,-0.01110804,-0.10091151,-0.00139114,0.00552400,-0.00074864,0.01709832,-0.06222041,-0.39007027,-0.03003318,0.02707803,-0.00545390
0.30000000,0.00318116,-0.01216123,-0.10688408,-0.00186693,0.00597016,-0.00084615,0.01726831,-0.06367852,-0.35817629,-0.02851517,0.02677775,-0.00581334
0.31666667,0.00343719,-0.01323250,-0.11226391,-0.00231157,0.00640850,-0.00094954,0.01734333,-0.06486513,-0.32257143,-0.02664116,0.02631213,-0.00615397
0.33333333,0.00369473,-0.01432020,-0.11699870,-0.00272111,0.00683645,-0.00105795,0.01733417,-0.06590388,-0.28383071,-0.02453063,0.02569177,-0.00644499
0.35000000,0.00395335,-0.01542264,-0.12104551,-0.00309241,0.00725155,-0.00117150,0.01724660,-0.06678977,-0.24251560,-0.02223154,0.02492429,-0.00674530
0.36666667,0.00421248,-0.01653591,-0.12437047,-0.00342336,0.00765149,-0.00129040,0.01707284,-0.06739459,-0.19917160,-0.01980542,0.02401831,-0.00705956
0.38333333,0.00447161,-0.01765815,-0.12694851,-0.00371206,0.00803413,-0.00141393,0.01681720,-0.06784288,-0.15432690,-0.01726511,0.02298390,-0.00733280
0.40000000,0.00473027,-0.01878746,-0.12876306,-0.00395704,0.00839750,-0.00154142,0.01649002,-0.06813990,-0.10849180,-0.01463750,0.02183048,-0.00756825
