t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00002731,-0.00000837,0.00184432,0.00004083,-0.00014097,-0.00000409,-0.00163861,-0.00050202,0.11065944,0.00244952,-0.00845797,-0.00024552
0.03333333,-0.00008158,-0.00002504,0.00546496,0.00011583,-0.00041560,-0.00001233,-0.00322571,-0.00100947,0.21723838,0.00449998,-0.01647826,-0.00049333
0.05000000,-0.00016318,-0.00004972,0.01078592,0.00021966,-0.00081778,-0.00002475,-0.00476332,-0.00151778,0.31925978,0.00622975,-0.02413077,-0.00074238
0.06666667,-0.00027301,-0.00008192,0.01772487,0.00034804,-0.00134217,-0.00004172,-0.00624934,-0.00202358,0.41634174,0.00770208,-0.03146364,-0.00101143
0.08333333,-0.00041217,-0.00012229,0.02619038,0.00047735,-0.00198324,-0.00006371,-0.00766749,-0.00259935,0.50794022,0.00775688,-0.03846427,-0.00130597
0.10000000,-0.00058234,-0.00017051,0.03600627,0.00052194,-0.00273697,-0.00009067,-0.00904185,-0.00317517,0.58897146,0.00267211,-0.04522502,-0.00159619
0.11666667,-0.00078493,-0.00022862,0.04696289,0.00049968,-0.00359900,-0.00012343,-0.01035580,-0.00383039,0.65742564,-0.00134111,-0.05172276,-0.00193868
0.13333333,-0.00102132,-0.00029831,0.05884686,0.00042436,-0.00456485,-0.00016168,-0.01161667,-0.00453942,0.71308251,-0.00452714,-0.05795199,-0.00226609
0.15000000,-0.00129248,-0.00038211,0.07144596,0.00030891,-0.00562961,-0.00020631,-0.01281772,-0.00535166,0.75601009,-0.00693932,-0.06388699,-0.00265062
0.16666667,-0.00159912,-0.00048144,0.08455312,0.00016219,-0.00678795,-0.00025700,-0.01396954,-0.00620654,0.78651878,-0.00882049,-0.06950118,-0.00301981
0.18333333,-0.00194109,-0.00059884,0.09796966,-0.00000660,-0.00803345,-0.00031449,-0.01505181,-0.00718009,0.80511250,-0.01015078,-0.07473053,-0.00343722
0.20000000,-0.00231814,-0.00073516,0.11150775,-0.00019196,-0.00935946,-0.00037891,-0.01609453,-0.00818049,0.81244087,-0.01115285,-0.07956051,-0.00386565
0.21666667,-0.00272897,-0.00089258,0.12499206,-0.00038778,-0.01075807,-0.00045030,-0.01707266,-0.00929916,0.80925550,-0.01178896,-0.08391567,-0.00429911
0.23333333,-0.00317187,-0.00107224,0.13826086,-0.00059010,-0.01222086,-0.00052948,-0.01800309,-0.01048330,0.79637165,-0.01219078,-0.08776561,-0.00478454
