t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,0.00003927,-0.00009560,-0.00104758,0.00006997,0.00002897,-0.00000702,0.00235608,-0.00573621,-0.06285456,0.00419840,0.00173801,-0.00042147
0.03333333,0.00011672,-0.00028479,-0.00310543,0.00019813,0.00008700,-0.00002153,0.00465107,-0.01134267,-0.12347216,0.00768961,0.00348169,-0.00087033
0.05000000,0.00023108,-0.00056559,-0.00613420,0.00037464,0.00017389,-0.00004406,0.00687729,-0.01681174,-0.18172882,0.01059034,0.00521312,-0.00135304
0.06666667,0.00038083,-0.00093453,-0.01009289,0.00059885,0.00028918,-0.00007528,0.00902726,-0.02204689,-0.23752824,0.01345289,0.00691702,-0.00187578
0.08333333,0.00056432,-0.00138729,-0.01493936,0.00087425,0.00043204,-0.00011541,0.01109595,-0.02699047,-0.29080096,0.01652523,0.00856979,-0.00241276
0.10000000,0.00077977,-0.00192192,-0.02063071,0.00119098,0.00060128,-0.00016466,0.01307815,-0.03177798,-0.34150336,0.01900503,0.01015234,-0.00296436
0.11666667,0.00102520,-0.00253636,-0.02712373,0.00154083,0.00079569,-0.00022365,0.01496624,-0.03640024,-0.38961607,0.02099280,0.01166032,-0.00355282
0.13333333,0.00129852,-0.00322511,-0.03437527,0.00193259,0.00101386,-0.00029279,0.01675444,-0.04065045,-0.43514213,0.02350882,0.01308362,-0.00416876
0.15000000,0.00159759,-0.00398560,-0.04234253,0.00235891,0.00125389,-0.00037204,0.01844204,-0.04470059,-0.47810457,0.02558411,0.01439261,-0.00478288
0.16666667,0.00192012,-0.00481452,-0.05098342,0.00281607,0.00151401,-0.00046204,0.02002062,-0.04850497,-0.51854441,0.02743660,0.01559419,-0.00543664
0.18333333,0.00226382,-0.00570691,-0.06025678,0.00330719,0.00179209,-0.00056261,0.02148909,-0.05196700,-0.55651807,0.02947638,0.01666779,-0.00608145
0.20000000,0.00262634,-0.00666040,-0.07012259,0.00382311,0.00208583,-0.00067405,0.02284431,-0.05523889,-0.59209498,0.03096700,0.01760259,-0.00674424
0.21666667,0.00300528,-0.00766889,-0.08054222,0.00436953,0.00239299,-0.00079640,0.02408069,-0.05810398,-0.62535546,0.03280037,0.01840144,-0.00741166
0.23333333,0.00339829,-0.00872989,-0.09147847,0.00493687,0.00271084,-0.00092957,0.02520149,-0.06077372,-0.65638805,0.03405959,0.01903587,-0.00807315
0.25000000,0.00380295,-0.00983731,-0.10289575,0.00552841,0.00303690,-0.00107358,0.02619871,-0.06304024,-0.68528806,0.03551612,0.01952034,-0.00873735
0.26666667,0.00421700,-0.01098849,-0.11476014,0.00613475,0.00336816,-0.00122819,0.02707875,-0.06510768,-0.71215507,0.03640811,0.01982388,-0.00938610
0.28333333,0.00463822,-0.01217707,-0.12699745,0.00658760,0.00370164,-0.00139316,0.02783362,-0.06677870,-0.73457262,0.02720430,0.01994816,-0.01002087
0.30000000,0.00506495,-0.01339595,-0.13944784,0.00682266,0.00403350,-0.00156846,0.02847085,-0.06817508,-0.74738842,0.01414261,0.01984191,-0.01064901
0.31666667,0.00549569,-0.01463443,-0.15194194,0.00689398,0.00436039,-0.00175345,0.02898442,-0.06915269,-0.75002442,0.00432433,0.01953671,-0.01123243
0.33333333,0.00592919,-0.01588378,-0.16432301,0.00684235,0.00467910,-0.00194837,0.02938020,-0.06979281,-0.74324244,-0.00304716,0.01904155,-0.01182688
0.35000000,0.00636434,-0.01713643,-0.17644779,0.00670056,0.00498696,-0.00215197,0.02965892,-0.07012937,-0.72785254,-0.00845030,0.01838771,-0.01234223
0.36666667,0.00680014,-0.01838467,-0.18818681,0.00649638,0.00528163,-0.00236452,0.02982148,-0.07011786,-0.70468676,-0.01218691,0.01759427,-0.01287096
0.38333333,0.00723583,-0.01962376,-0.19942445,0.00624944,0.00556106,-0.00258460,0.02987784,-0.06990275,-0.67457874,-0.01474661,0.01667998,-0.01331287
0.40000000,0.00767063,-0.02084776,-0.21005876,0.00597758,0.00582359,-0.00281236,0.02982520,-0.06938408,-0.63834842,-0.01623584,0.01566613,-0.01376376
