t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,0.00000000,0.00000000,0.00184432,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.11065944,0.00000000,0.00000000,0.00000000
0.03333333,0.00000000,0.00000000,0.00546496,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.21723840,0.00000000,0.00000000,0.00000000
0.05000000,0.00000000,0.00000000,0.01078596,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.31925988,0.00000000,0.00000000,0.00000000
0.06666667,0.00000000,0.00000000,0.01772500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.41634204,0.00000000,0.00000000,0.00000000
0.08333333,0.00000000,0.00000000,0.02619500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50820017,0.00000000,0.00000000,0.00000000
0.10000000,0.00000000,0.00000000,0.03610575,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.59464504,0.00000000,0.00000000,0.00000000
0.11666667,0.00000000,0.00000000,0.04736538,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.67557795,0.00000000,0.00000000,0.00000000
0.13333333,0.00000000,0.00000000,0.05988177,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.75098324,0.00000000,0.00000000,0.00000000
0.15000000,0.00000000,0.00000000,0.07356375,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82091897,0.00000000,0.00000000,0.00000000
0.16666667,0.00000000,0.00000000,0.08832219,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88550642,0.00000000,0.00000000,0.00000000
0.18333333,0.00000000,0.00000000,0.10407084,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.94491912,0.00000000,0.00000000,0.00000000
0.20000000,0.00000000,0.00000000,0.12072705,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99937203,0.00000000,0.00000000,0.00000000
0.21666667,0.00000000,0.00000000,0.13821223,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.04911116,0.00000000,0.00000000,0.00000000
0.23333333,0.00000000,0.00000000,0.15645230,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.09440411,0.00000000,0.00000000,0.00000000
0.25000000,-0.00000006,0.00000000,0.17537783,0.00000000,-0.00000046,-0.00000027,-0.00000383,0.00000000,1.13553170,0.00000000,-0.00002767,-0.00001642
0.26666667,-0.00000094,0.00000133,0.19492417,-0.00000925,-0.00000674,-0.00000067,-0.00005191,0.00008001,1.17278065,-0.00055475,-0.00037658,-0.00002371
0.28333333,-0.00000315,0.00000480,0.21503147,-0.00003281,-0.00002169,-0.00000161,-0.00012463,0.00021926,1.20643765,-0.00141392,-0.00089719,-0.00005635
0.30000000,-0.00000682,0.00000980,0.23564454,-0.00006687,-0.00004497,-0.00000331,-0.00019308,0.00034045,1.23678438,-0.00204380,-0.00139660,-0.00010212
0.31666667,-0.00001204,0.00001681,0.25671277,-0.00011438,-0.00007610,-0.00000536,-0.00025631,0.00050508,1.26409380,-0.00285005,-0.00186780,-0.00012293
0.33333333,-0.00001881,0.00002601,0.27818989,-0.00017611,-0.00011388,-0.00000785,-0.00030855,0.00069950,1.28862722,-0.00370403,-0.00226699,-0.00014966
0.35000000,-0.00002688,0.00003736,0.30003376,-0.00025131,-0.00015559,-0.00001089,-0.00033480,0.00091155,1.31063236,-0.00451204,-0.00250238,-0.00018292
0.36666667,-0.00003568,0.00005063,0.32220613,-0.00033812,-0.00019717,-0.00001458,-0.00032086,0.00113046,1.33034201,-0.00520874,-0.00249513,-0.00022220
0.38333333,-0.00004433,0.00006547,0.34467236,-0.00043397,-0.00023351,-0.00001902,-0.00025357,0.00134674,1.34797336,-0.00575105,-0.00218022,-0.00026689
0.40000000,-0.00005167,0.00008105,0.36740117,-0.00053432,-0.00025868,-0.00002421,-0.00012175,0.00152623,1.36372772,-0.00602103,-0.00150984,-0.00031216
0.41666667,-0.00005627,0.00009675,0.39036435,-0.00063595,-0.00026638,-0.00003001,0.00008044,0.00167807,1.37779063,-0.00609803,-0.00046207,-0.00034855
0.43333333,-0.00005636,0.00011230,0.41336097,-0.00069098,-0.00024987,-0.00003648,0.00036184,0.00181088,1.37979606,-0.00330194,0.00099099,-0.00038732
0.45000000,-0.00004983,0.00012896,0.43612222,-0.00071290,-0.00020200,-0.00004371,0.00073300,0.00194296,1.36567396,-0.00131539,0.00287269,-0.00043175
