t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,0.00000395,-0.00010042,-0.00102914,0.00010670,0.00000848,-0.00000114,0.00023704,-0.00602512,-0.06174823,0.00640197,0.00050873,-0.00006815
0.03333333,0.00001162,-0.00029881,-0.00303924,0.00025414,0.00002485,-0.00000355,0.00046106,-0.01189072,-0.12060731,0.00884624,0.00098254,-0.00014467
0.05000000,0.00002273,-0.00059230,-0.00597297,0.00036915,0.00004848,-0.00000734,0.00067098,-0.01756453,-0.17602814,0.00690069,0.00141754,-0.00022783
0.06666667,0.00003696,-0.00097896,-0.00976182,0.00037474,0.00007868,-0.00001263,0.00086519,-0.02311576,-0.22734005,0.00033539,0.00181186,-0.00031820
0.08333333,0.00005396,-0.00145617,-0.01432399,0.00021325,0.00011476,-0.00001949,0.00104199,-0.02852997,-0.27374024,-0.00968909,0.00216460,-0.00041279
0.10000000,0.00007338,-0.00201860,-0.01956200,-0.00011726,0.00015591,-0.00002808,0.00120206,-0.03367883,-0.31428812,-0.01983082,0.00246898,-0.00051552
0.11666667,0.00009488,-0.00265944,-0.02536700,-0.00056809,0.00020129,-0.00003849,0.00134491,-0.03849124,-0.34829515,-0.02704951,0.00272253,-0.00062466
0.13333333,0.00011807,-0.00337398,-0.03162887,-0.00110366,0.00025004,-0.00005079,0.00146922,-0.04308578,-0.37568727,-0.03213398,0.00292594,-0.00073596
0.15000000,0.00014261,-0.00415786,-0.03823817,-0.00169537,0.00030136,-0.00006499,0.00157388,-0.04747047,-0.39650543,-0.03550235,0.00307965,-0.00084877
0.16666667,0.00016816,-0.00500424,-0.04508780,-0.00231480,0.00035433,-0.00008121,0.00165993,-0.05147929,-0.41089085,-0.03716567,0.00318000,-0.00096759
0.18333333,0.00019439,-0.00590862,-0.05207443,-0.00294266,0.00040810,-0.00009942,0.00172649,-0.05523247,-0.41907060,-0.03767123,0.00322871,-0.00108530
0.20000000,0.00022097,-0.00686793,-0.05909969,-0.00356553,0.00046182,-0.00011959,0.00177300,-0.05879901,-0.42134332,-0.03737144,0.00322695,-0.00120095
0.21666667,0.00024764,-0.00787617,-0.06607109,-0.00416823,0.00051464,-0.00014179,0.00180042,-0.06198476,-0.41806517,-0.03616183,0.00317361,-0.00132025
0.23333333,0.00027411,-0.00892976,-0.07290283,-0.00474177,0.00056572,-0.00016594,0.00180807,-0.06492336,-0.40963667,-0.03441143,0.00307123,-0.00143656
0.25000000,0.00030013,-0.01002635,-0.07951631,-0.00528043,0.00061428,-0.00019196,0.00179653,-0.06767595,-0.39649123,-0.03231850,0.00292077,-0.00154707
0.26666667,0.00032547,-0.01116128,-0.08584049,-0.00577768,0.00065951,-0.00021983,0.00176676,-0.07009831,-0.37908485,-0.02983448,0.00272277,-0.00165812
0.28333333,0.00034991,-0.01233107,-0.09181215,-0.00622948,0.00070067,-0.00024951,0.00171824,-0.07225579,-0.35788736,-0.02710633,0.00247983,-0.00176619
0.30000000,0.00037323,-0.01353353,-0.09737603,-0.00663385,0.00073705,-0.00028086,0.00165111,-0.07422588,-0.33337539,-0.02426103,0.00219405,-0.00186755
0.31666667,0.00039525,-0.01476628,-0.10248478,-0.00698931,0.00076793,-0.00031379,0.00156776,-0.07599649,-0.30602644,-0.02132594,0.00186596,-0.00196340
0.33333333,0.00041579,-0.01602472,-0.10709894,-0.00729408,0.00079265,-0.00034821,0.00146845,-0.07743859,-0.27631438,-0.01828465,0.00149761,-0.00205477
0.35000000,0.00043465,-0.01730590,-0.11118684,-0.00754759,0.00081057,-0.00038404,0.00135306,-0.07865758,-0.24470580,-0.01520887,0.00109099,-0.00214206
0.36666667,0.00045165,-0.01860727,-0.11472441,-0.00774972,0.00082109,-0.00042119,0.00122191,-0.07968138,-0.21165752,-0.01212597,0.00064789,-0.00222387
0.38333333,0.00046659,-0.01992602,-0.11769497,-0.00790052,0.00082362,-0.00045957,0.00107600,-0.08050403,-0.17761442,-0.00904633,0.00016977,-0.00230203
0.40000000,0.00047927,-0.02125916,-0.12008906,-0.00800021,0.00081761,-0.00049913,0.00091588,-0.08111998,-0.14300807,-0.00597923,-0.00034190,-0.00237597
0.41666667,0.00048948,-0.02260342,-0.12190414,-0.00804912,0.00080252,-0.00053976,0.00074220,-0.08152415,-0.10825572,-0.00293274,-0.00088566,-0.00244513
0.43333333,0.00049702,-0.02395535,-0.12314439,-0.00804772,0.00077785,-0.00058138,0.00055566,-0.08171196,-0.07375936,0.00008586,-0.00146012,-0.00250903
0.45000000,0.00050166,-0.02531116,-0.12382041,-0.00799662,0.00074311,-0.00062389,0.00035707,-0.08167199,-0.03990507,0.00306781,-0.00206391,-0.00256719
0.46666667,0.00050317,-0.02666697,-0.12394897,-0.00789653,0.00069784,-0.00066718,0.00014725,-0.08140741,-0.00706230,0.00600737,-0.00269554,-0.00261921
0.48333333,0.00050133,-0.02801888,-0.12355268,-0.00774824,0.00064160,-0.00071115,-0.00007288,-0.08092473,0.02441681,0.00889918,-0.00335355,-0.00266472
0.50000000,0.00049591,-0.02936272,-0.12266030,-0.00755271,0.00057398,-0.00075569,-0.00030239,-0.08021324,0.05416608,0.01173372,-0.00403631,-0.00270342
0.51666667,0.00048667,-0.03069416,-0.12130734,-0.00731100,0.00049460,-0.00080067,-0.00054028,-0.07927149,0.08177779,0.01450390,-0.00474206,-0.00273503
0.53333333,0.00047340,-0.03200878,-0.11953546,-0.00702432,0.00040312,-0.00084599,-0.00078553,-0.07809870,0.10688631,0.01720259,-0.00546878,-0.00275936
0.55000000,0.00045589,-0.03330211,-0.11739157,-0.00669396,0.00029923,-0.00089153,-0.00103711,-0.07669482,0.12917493,0.01982251,-0.00621419,-0.00277623
0.56666667,0.00043393,-0.03456962,-0.11492702,-0.00632137,0.00018266,-0.00093718,-0.00129395,-0.07506057,0.14837866,0.02235643,-0.00697572,-0.00278556
0.58333333,0.00040735,-0.03580684,-0.11219669,-0.00590809,0.00005319,-0.00098284,-0.00155526,-0.07319733,0.16428530,0.02479687,-0.00775030,-0.00278875
0.60000000,0.00037591,-0.03700931,-0.10925815,-0.00545582,-0.00008931,-0.00102876,-0.00182489,-0.07110725,0.17673544,0.02713640,-0.00853369,-0.00280553
0.61666667,0.00033933,-0.03817214,-0.10617077,-0.00496625,-0.00024492,-0.00107490,-0.00210657,-0.06875998,0.18562120,0.02937404,-0.00932147,-0.00281955
0.63333333,0.00029740,-0.03928979,-0.10299489,-0.00444110,-0.00041366,-0.00112081,-0.00239706,-0.06611473,0.19088389,0.03150835,-0.01011049,-0.00280454
0.65000000,0.00025007,-0.04035799,-0.09979110,-0.00388249,-0.00059550,-0.00116636,-0.00268846,-0.06324052,0.19251115,0.03351536,-0.01089809,-0.00278132
0.66666667,0.00019729,-0.04137262,-0.09661950,-0.00329265,-0.00079030,-0.00121164,-0.00298227,-0.06014269,0.19053306,0.03538869,-0.01167765,-0.00276236
0.68333333,0.00013899,-0.04232982,-0.09353904,-0.00267390,-0.00099780,-0.00125695,-0.00328241,-0.05682713,0.18501841,0.03712286,-0.01244078,-0.00275935
0.70000000,0.00007512,-0.04322419,-0.09060697,-0.00202747,-0.00121761,-0.00130218,-0.00358938,-0.05319602,0.17607034,0.03878345,-0.01318155,-0.00274916
0.71666667,0.00000568,-0.04405100,-0.08787835,-0.00135522,-0.00144928,-0.00134678,-0.00390239,-0.04928208,0.16382229,0.04033176,-0.01389468,-0.00270431
0.73333333,-0.00006919,-0.04480694,-0.08540559,-0.00066002,-0.00169229,-0.00139073,-0.00421592,-0.04516139,0.14843374,0.04170807,-0.01457678,-0.00265689
0.75000000,-0.00014933,-0.04548896,-0.08323806,0.00005527,-0.00194595,-0.00143433,-0.00453157,-0.04084233,0.13008645,0.04291297,-0.01521829,-0.00262599
0.76666667,-0.00023455,-0.04609333,-0.08142184,0.00078897,-0.00220950,-0.00147765,-0.00484890,-0.03627503,0.10898079,0.04401713,-0.01581285,-0.00259835
0.78333333,-0.00032459,-0.04661542,-0.07999941,0.00154053,-0.00248204,-0.00152051,-0.00516734,-0.03140089,0.08533246,0.04508767,-0.01635444,-0.00255829
0.80000000,-0.00041916,-0.04705201,-0.07900947,0.00230760,-0.00276256,-0.00156254,-0.00548721,-0.02629544,0.05936972,0.04601803,-0.01683517,-0.00249618
0.81666667,-0.00051794,-0.04740101,-0.07848676,0.00308671,-0.00304994,-0.00160372,-0.00580750,-0.02102178,0.03133061,0.04673979,-0.01724815,-0.00243062
0.83333333,-0.00062051,-0.04766061,-0.07846192,0.00387458,-0.00334300,-0.00164415,-0.00612463,-0.01559033,0.00146097,0.04726471,-0.01759103,-0.00237202
0.85000000,-0.00072640,-0.04782859,-0.07896142,0.00466922,-0.00364051,-0.00168392,-0.00643665,-0.00997283,-0.02998753,0.04767051,-0.01785996,-0.00231670
0.86666667,-0.00083509,-0.04790212,-0.08000666,0.00547003,-0.00394118,-0.00172297,-0.00674217,-0.00413013,-0.06271028,0.04803980,-0.01805075,-0.00225899
0.88333333,-0.00094605,-0.04787879,-0.08161284,0.00627572,-0.00424363,-0.00176122,-0.00703980,0.00191518,-0.09633460,0.04833255,-0.01815938,-0.00219560
0.90000000,-0.00105875,-0.04775657,-0.08378883,0.00708450,-0.00454641,-0.00179861,-0.00732880,0.00813999,-0.13048084,0.04851744,-0.01818073,-0.00212894
0.91666667,-0.00117265,-0.04753408,-0.08653717,0.00789377,-0.00484801,-0.00183509,-0.00760804,0.01450502,-0.16476887,0.04854593,-0.01811118,-0.00206077
0.93333333,-0.00128724,-0.04721072,-0.08985416,0.00869996,-0.00514690,-0.00187065,-0.00787578,0.02095889,-0.19882469,0.04836117,-0.01794921,-0.00199210
0.95000000,-0.00140200,-0.04678609,-0.09373009,0.00949988,-0.00544153,-0.00190526,-0.00812973,0.02748684,-0.23228665,0.04798431,-0.01769513,-0.00192243
0.96666667,-0.00151641,-0.04625993,-0.09814950,0.01029062,-0.00573039,-0.00193887,-0.00836747,0.03407403,-0.26481123,0.04743377,-0.01735035,-0.00185195
0.98333333,-0.00162998,-0.04563209,-0.10309160,0.01106957,-0.00601202,-0.00197147,-0.00858659,0.04070565,-0.29607812,0.04672576,-0.01691703,-0.00178167
1.00000000,-0.00174226,-0.04490258,-0.10853069,0.01183433,-0.00628499,-0.00200303,-0.00878474,0.04736690,-0.32579467,0.04587415,-0.01639787,-0.00171265
1.01666667,-0.00185280,-0.04407146,-0.11443675,0.01258270,-0.00654791,-0.00203357,-0.00895973,0.05404294,-0.35369924,0.04489082,-0.01579626,-0.00164519
1.03333333,-0.00196123,-0.04313893,-0.12077590,0.01331266,-0.00679950,-0.00206306,-0.00910946,0.06071902,-0.37956373,0.04378605,-0.01511594,-0.00157937
1.05000000,-0.00206717,-0.04210526,-0.12751107,0.01402233,-0.00703850,-0.00209148,-0.00923200,0.06738042,-0.40319522,0.04256829,-0.01436137,-0.00151401
