t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00005921,-0.00005167,-0.00055805,-0.00011863,-0.00015946,-0.00001107,-0.00355282,-0.00310019,-0.03348321,-0.00711785,-0.00956781,-0.00066403
0.03333333,-0.00017506,-0.00015511,-0.00169483,-0.00033048,-0.00046653,-0.00003340,-0.00696135,-0.00621469,-0.06820474,-0.01271127,-0.01842365,-0.00134227
0.05000000,-0.00034462,-0.00030904,-0.00342302,-0.00061226,-0.00090904,-0.00006694,-0.01022166,-0.00927014,-0.10368352,-0.01690785,-0.02655023,-0.00202128
0.06666667,-0.00056468,-0.00051170,-0.00574737,-0.00094417,-0.00147466,-0.00011147,-0.01332978,-0.01224619,-0.13944158,-0.01991661,-0.03393567,-0.00269209
0.08333333,-0.00083177,-0.00076128,-0.00866488,-0.00130993,-0.00215095,-0.00016667,-0.01628158,-0.01514172,-0.17501249,-0.02195083,-0.04057384,-0.00335070
0.10000000,-0.00114217,-0.00105592,-0.01216510,-0.00169632,-0.00292543,-0.00023231,-0.01907306,-0.01795639,-0.20994931,-0.02319196,-0.04646402,-0.00399937
0.11666667,-0.00149203,-0.00139378,-0.01623059,-0.00209267,-0.00378574,-0.00030813,-0.02170029,-0.02069046,-0.24383208,-0.02379377,-0.05161074,-0.00463654
0.13333333,-0.00187737,-0.00177311,-0.02083745,-0.00249044,-0.00471965,-0.00039381,-0.02415945,-0.02334473,-0.27627431,-0.02388566,-0.05602331,-0.00525793
0.15000000,-0.00229416,-0.00219221,-0.02595601,-0.00288292,-0.00571515,-0.00048898,-0.02644682,-0.02592031,-0.30692824,-0.02357632,-0.05971605,-0.00585916
0.16666667,-0.00273839,-0.00264951,-0.03155146,-0.00326493,-0.00676058,-0.00059327,-0.02855909,-0.02841861,-0.33548904,-0.02295629,-0.06270725,-0.00643786
0.18333333,-0.00320614,-0.00314357,-0.03758470,-0.00363251,-0.00784459,-0.00070632,-0.03049362,-0.03084121,-0.36169757,-0.02210058,-0.06501845,-0.00699499
0.20000000,-0.00369358,-0.00367306,-0.04401305,-0.00398275,-0.00895626,-0.00082786,-0.03224873,-0.03318975,-0.38534185,-0.02107118,-0.06667313,-0.00753468
0.21666667,-0.00419710,-0.00423677,-0.05079109,-0.00431356,-0.01008505,-0.00095770,-0.03382426,-0.03546597,-0.40625743,-0.01991866,-0.06769562,-0.00805968
0.23333333,-0.00471333,-0.00483362,-0.05787140,-0.00462358,-0.01122080,-0.00109545,-0.03522214,-0.03767159,-0.42432656,-0.01868440,-0.06810903,-0.00855834
0.25000000,-0.00523911,-0.00546181,-0.06520534,-0.00491043,-0.01235393,-0.00124057,-0.03644137,-0.03975802,-0.43947626,-0.01730910,-0.06794674,-0.00902110
0.26666667,-0.00577151,-0.00611927,-0.07274373,-0.00517189,-0.01347548,-0.00139245,-0.03747989,-0.04170565,-0.45167571,-0.01579982,-0.06724713,-0.00944264
0.28333333,-0.00630777,-0.00680517,-0.08043752,-0.00540853,-0.01457716,-0.00155041,-0.03833569,-0.04358316,-0.46093307,-0.01432598,-0.06605087,-0.00981813
0.30000000,-0.00684534,-0.00751891,-0.08823834,-0.00562144,-0.01565139,-0.00171370,-0.03900697,-0.04540255,-0.46729184,-0.01291762,-0.06439976,-0.01014494
0.31666667,-0.00738188,-0.00825995,-0.09609909,-0.00581177,-0.01669122,-0.00188175,-0.03949408,-0.04716490,-0.47082693,-0.01157778,-0.06233254,-0.01043217
0.33333333,-0.00791540,-0.00902777,-0.10397435,-0.00598070,-0.01769010,-0.00205425,-0.03980627,-0.04887123,-0.47164047,-0.01030817,-0.05987152,-0.01069685
0.35000000,-0.00844414,-0.00982188,-0.11182076,-0.00612940,-0.01864193,-0.00223072,-0.03994963,-0.05052263,-0.46985787,-0.00910930,-0.05704573,-0.01092813
0.36666667,-0.00896652,-0.01064097,-0.11959739,-0.00625793,-0.01954129,-0.00241080,-0.03992542,-0.05207055,-0.46562395,-0.00791336,-0.05389427,-0.01113303
0.38333333,-0.00948107,-0.01148350,-0.12726595,-0.00636622,-0.02038335,-0.00259403,-0.03973579,-0.05349989,-0.45909910,-0.00671205,-0.05045389,-0.01130801
0.40000000,-0.00998642,-0.01234908,-0.13479104,-0.00645605,-0.02116389,-0.00277986,-0.03938223,-0.05488223,-0.45045611,-0.00561723,-0.04676025,-0.01144527
0.41666667,-0.01048130,-0.01323733,-0.14214028,-0.00652906,-0.02187918,-0.00296781,-0.03886940,-0.05621825,-0.43987677,-0.00461917,-0.04284364,-0.01155134
