t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00000990,-0.00009078,-0.00044797,-0.00020762,-0.00002735,0.00000111,-0.00059395,-0.00544683,-0.02687805,-0.01245748,-0.00164125,0.00006659
0.03333333,-0.00002916,-0.00027073,-0.00131106,-0.00057554,-0.00008027,0.00000335,-0.00115679,-0.01080754,-0.05178340,-0.02207477,-0.00317469,0.00013385
0.05000000,-0.00005718,-0.00053782,-0.00255287,-0.00106395,-0.00015689,0.00000674,-0.00168759,-0.01606816,-0.07449932,-0.02930444,-0.00459737,0.00020074
0.06666667,-0.00009336,-0.00088974,-0.00413413,-0.00163957,-0.00025532,0.00001130,-0.00218577,-0.02121622,-0.09485267,-0.03453752,-0.00590649,0.00026735
0.08333333,-0.00013707,-0.00132373,-0.00601343,-0.00227440,-0.00037363,0.00001710,-0.00265143,-0.02622416,-0.11271455,-0.03808968,-0.00709885,0.00033603
0.10000000,-0.00018768,-0.00183609,-0.00814795,-0.00294425,-0.00050981,0.00002425,-0.00308499,-0.03103307,-0.12799961,-0.04019062,-0.00817169,0.00041065
0.11666667,-0.00024457,-0.00242302,-0.01049414,-0.00362919,-0.00066185,0.00003289,-0.00348620,-0.03563020,-0.14066504,-0.04109625,-0.00912416,0.00049157
0.13333333,-0.00030712,-0.00308065,-0.01300839,-0.00431292,-0.00082776,0.00004310,-0.00385447,-0.04000444,-0.15070834,-0.04102343,-0.00995679,0.00057616
0.15000000,-0.00037473,-0.00380523,-0.01564767,-0.00498243,-0.00100556,0.00005488,-0.00418918,-0.04415756,-0.15816476,-0.04016988,-0.01067091,0.00066111
0.16666667,-0.00044678,-0.00459424,-0.01837012,-0.00562875,-0.00119330,0.00006820,-0.00448967,-0.04815327,-0.16310426,-0.03877844,-0.01126847,0.00074306
0.18333333,-0.00052266,-0.00544507,-0.02113551,-0.00624466,-0.00138910,0.00008301,-0.00475447,-0.05198304,-0.16562811,-0.03695370,-0.01175250,0.00082242
0.20000000,-0.00060178,-0.00635511,-0.02390578,-0.00682440,-0.00159109,0.00009936,-0.00498297,-0.05563844,-0.16586532,-0.03478299,-0.01212526,0.00090527
0.21666667,-0.00068360,-0.00732162,-0.02664539,-0.00736340,-0.00179742,0.00011742,-0.00517653,-0.05911073,-0.16396901,-0.03233808,-0.01238724,0.00099919
0.23333333,-0.00076760,-0.00834069,-0.02932167,-0.00785720,-0.00200630,0.00013734,-0.00533538,-0.06232413,-0.16011291,-0.02962598,-0.01254096,0.00110259
0.25000000,-0.00085326,-0.00940838,-0.03190511,-0.00830247,-0.00221596,0.00015917,-0.00545935,-0.06527632,-0.15448781,-0.02671338,-0.01258981,0.00121117
0.26666667,-0.00094009,-0.01052073,-0.03436961,-0.00869678,-0.00242473,0.00018292,-0.00554837,-0.06796592,-0.14729837,-0.02365569,-0.01253705,0.00132086
0.28333333,-0.00102762,-0.01167454,-0.03669261,-0.00903907,-0.00263095,0.00020851,-0.00560246,-0.07043693,-0.13875993,-0.02053342,-0.01238621,0.00142805
0.30000000,-0.00111538,-0.01286679,-0.03885531,-0.00932891,-0.00283305,0.00023584,-0.00562177,-0.07270365,-0.12909562,-0.01738662,-0.01214039,0.00152970
0.31666667,-0.00120290,-0.01409431,-0.04084266,-0.00956618,-0.00302950,0.00026473,-0.00560657,-0.07475918,-0.11853362,-0.01423108,-0.01180280,0.00162348
0.33333333,-0.00128975,-0.01535379,-0.04264348,-0.00975093,-0.00321882,0.00029507,-0.00555782,-0.07659702,-0.10730468,-0.01107974,-0.01137597,0.00171144
0.35000000,-0.00137547,-0.01664173,-0.04425040,-0.00988343,-0.00339955,0.00032680,-0.00547670,-0.07821110,-0.09563984,-0.00794351,-0.01086212,0.00179789
0.36666667,-0.00145965,-0.01795449,-0.04565987,-0.00996407,-0.00357030,0.00035991,-0.00536400,-0.07959585,-0.08376827,-0.00483175,-0.01026373,0.00188531
0.38333333,-0.00154185,-0.01928828,-0.04687211,-0.00999340,-0.00372969,0.00039438,-0.00522003,-0.08074613,-0.07191525,-0.00175265,-0.00958362,0.00197310
0.40000000,-0.00162160,-0.02063915,-0.04789098,-0.00997209,-0.00387641,0.00043019,-0.00504511,-0.08165741,-0.06030053,0.00128671,-0.00882438,0.00206068
0.41666667,-0.00169845,-0.02200305,-0.04872387,-0.00990091,-0.00400919,0.00046731,-0.00483969,-0.08232570,-0.04913636,0.00427969,-0.00798852,0.00214751
0.43333333,-0.00177191,-0.02337577,-0.04938156,-0.00978075,-0.00412679,0.00050570,-0.00460425,-0.08274759,-0.03862610,0.00721892,-0.00707826,0.00223305
0.45000000,-0.00184148,-0.02475302,-0.04987806,-0.00961262,-0.00422800,0.00054530,-0.00433933,-0.08292026,-0.02896251,0.01009767,-0.00609595,0.00231683
0.46666667,-0.00190667,-0.02613043,-0.05023037,-0.00939763,-0.00431167,0.00058608,-0.00404552,-0.08284154,-0.02032635,0.01290968,-0.00504363,0.00239838
0.48333333,-0.00196694,-0.02750355,-0.05045829,-0.00913699,-0.00437667,0.00062798,-0.00372348,-0.08250990,-0.01288487,0.01564907,-0.00392346,0.00247730
0.50000000,-0.00202176,-0.02886790,-0.05058418,-0.00883201,-0.00442191,0.00067095,-0.00337387,-0.08192444,-0.00679055,0.01831035,-0.00273765,0.00255324
0.51666667,-0.00207060,-0.03021898,-0.05063267,-0.00848406,-0.00444633,0.00071494,-0.00299742,-0.08108492,-0.00217965,0.02088811,-0.00148842,0.00262588
0.53333333,-0.00211290,-0.03155227,-0.05063035,-0.00809465,-0.00444892,0.00075988,-0.00259487,-0.07999173,0.00082898,0.02337715,-0.00017814,0.00269498
0.55000000,-0.00214811,-0.03286331,-0.05060554,-0.00766531,-0.00442872,0.00080583,-0.00216550,-0.07864594,0.00213493,0.02577243,0.00118948,0.00276700
0.56666667,-0.00217563,-0.03414766,-0.05058789,-0.00719770,-0.00438485,0.00085282,-0.00170840,-0.07704923,0.00165739,0.02806903,0.00261033,0.00283918
0.58333333,-0.00219489,-0.03539990,-0.05060805,-0.00669276,-0.00431648,0.00090076,-0.00122489,-0.07513991,-0.00066342,0.03030909,0.00408171,0.00290633
0.60000000,-0.00220534,-0.03661552,-0.05069734,-0.00615231,-0.00422281,0.00094963,-0.00071608,-0.07297087,-0.00486627,0.03243983,0.00560019,0.00296933
0.61666667,-0.00220647,-0.03779014,-0.05088739,-0.00557824,-0.00410314,0.00099936,-0.00018271,-0.07054605,-0.01096815,0.03445651,0.00716189,0.00302822
0.63333333,-0.00219778,-0.03891952,-0.05120972,-0.00497255,-0.00395682,0.00104993,0.00037448,-0.06786996,-0.01896363,0.03635415,0.00876241,0.00308312
0.65000000,-0.00217879,-0.03999956,-0.05169545,-0.00433727,-0.00378329,0.00110139,0.00095565,-0.06494770,-0.02882481,0.03812862,0.01039583,0.00313894
0.66666667,-0.00214904,-0.04102633,-0.05237483,-0.00367453,-0.00358218,0.00115398,0.00156296,-0.06178488,-0.04050163,0.03977650,0.01205315,0.00320763
0.68333333,-0.00210808,-0.04199611,-0.05327697,-0.00298648,-0.00335318,0.00120790,0.00219670,-0.05838761,-0.05392217,0.04129470,0.01372778,0.00328613
0.70000000,-0.00205550,-0.04290436,-0.05442941,-0.00227414,-0.00309613,0.00126326,0.00285681,-0.05470543,-0.06899356,0.04275116,0.01541304,0.00336742
0.71666667,-0.00199096,-0.04374640,-0.05585786,-0.00153836,-0.00281097,0.00131999,0.00354327,-0.05072174,-0.08560298,0.04415779,0.01710175,0.00344278
0.73333333,-0.00191416,-0.04451812,-0.05758583,-0.00078081,-0.00249777,0.00137790,0.00425575,-0.04646903,-0.10361920,0.04546260,0.01878689,0.00350337
0.75000000,-0.00182486,-0.04521643,-0.05963440,-0.00000433,-0.00215669,0.00143691,0.00499299,-0.04200157,-0.12289434,0.04659742,0.02046185,0.00355633
0.76666667,-0.00172291,-0.04583840,-0.06202195,0.00078832,-0.00178806,0.00149715,0.00575465,-0.03732800,-0.14326584,0.04756691,0.02211807,0.00361492
0.78333333,-0.00160818,-0.04638135,-0.06476397,0.00159447,-0.00139232,0.00155894,0.00654041,-0.03245732,-0.16455889,0.04837548,0.02374692,0.00368857
0.80000000,-0.00148064,-0.04684276,-0.06787288,0.00241150,-0.00097009,0.00162258,0.00734974,-0.02739880,-0.18658891,0.04902728,0.02534038,0.00377811
0.81666667,-0.00134028,-0.04722030,-0.07135792,0.00323688,-0.00052206,0.00168834,0.00818183,-0.02216197,-0.20916426,0.04952665,0.02689098,0.00388033
0.83333333,-0.00118718,-0.04751141,-0.07522507,0.00406891,-0.00004909,0.00175641,0.00903570,-0.01673063,-0.23208914,0.04992382,0.02839150,0.00399273
0.85000000,-0.00102144,-0.04771330,-0.07947704,0.00490643,0.00044788,0.00182699,0.00991017,-0.01109290,-0.25516627,0.05025155,0.02983513,0.00411331
0.86666667,-0.00084325,-0.04782349,-0.08411330,0.00574788,0.00096778,0.00190023,0.01080401,-0.00526604,-0.27819974,0.05048483,0.03121526,0.00424125
0.88333333,-0.00065280,-0.04783975,-0.08913010,0.00659134,0.00150944,0.00197632,0.01171630,0.00073251,-0.30099779,0.05060358,0.03252478,0.00437849
0.90000000,-0.00045034,-0.04776013,-0.09452064,0.00743467,0.00207155,0.00205547,0.01264574,0.00688527,-0.32337528,0.05059259,0.03375746,0.00452659
0.91666667,-0.00023611,-0.04758291,-0.10027517,0.00827551,0.00265275,0.00213791,0.01359081,0.01317286,-0.34515599,0.05044029,0.03490802,0.00468688
0.93333333,-0.00001040,-0.04730670,-0.10638120,0.00911139,0.00325160,0.00222387,0.01454969,0.01957463,-0.36617473,0.05013870,0.03597234,0.00486019
