t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,0.00000961,-0.00011897,-0.00104758,0.00000000,-0.00000000,-0.00001514,0.00057662,-0.00713847,-0.06285452,0.00000000,-0.00000000,-0.00090816
0.03333333,0.00003006,-0.00035143,-0.00310546,0.00000408,0.00000008,-0.00004570,0.00122718,-0.01394708,-0.12347280,0.00024452,0.00000477,-0.00183408
0.05000000,0.00006248,-0.00069176,-0.00613431,0.00001534,0.00000018,-0.00009198,0.00194640,-0.02041928,-0.18173149,0.00067568,0.00000613,-0.00277633
0.06666667,0.00010793,-0.00113432,-0.01009322,0.00003612,0.00000011,-0.00015420,0.00272904,-0.02654967,-0.23753467,0.00124708,-0.00000437,-0.00373355
0.08333333,0.00016734,-0.00167340,-0.01494008,0.00006813,-0.00000047,-0.00023261,0.00356989,-0.03233374,-0.29081312,0.00192077,-0.00003500,-0.00470446
0.10000000,0.00024159,-0.00230328,-0.02063210,0.00011257,-0.00000203,-0.00032741,0.00446379,-0.03776816,-0.34152354,0.00266610,-0.00009377,-0.00568774
0.11666667,0.00033147,-0.00301820,-0.02712613,0.00017021,-0.00000515,-0.00043877,0.00540559,-0.04285001,-0.38964671,0.00345819,-0.00018805,-0.00668204
0.13333333,0.00043766,-0.00381244,-0.03437909,0.00024148,-0.00001053,-0.00056687,0.00639018,-0.04757740,-0.43518556,0.00427644,-0.00032445,-0.00768591
0.15000000,0.00056079,-0.00468025,-0.04234826,0.00032656,-0.00001898,-0.00071184,0.00741252,-0.05194887,-0.47816317,0.00510449,-0.00050868,-0.00869785
0.16666667,0.00070142,-0.00561590,-0.05099163,0.00042538,-0.00003135,-0.00087378,0.00846759,-0.05596358,-0.51862040,0.00592910,-0.00074556,-0.00971622
0.18333333,0.00086001,-0.00661367,-0.06026809,0.00053770,-0.00004858,-0.00105277,0.00955047,-0.05962138,-0.55661351,0.00673891,-0.00103857,-0.01073924
0.20000000,0.00103698,-0.00766788,-0.07013771,0.00066313,-0.00007165,-0.00124887,0.01065626,-0.06292268,-0.59221171,0.00752520,-0.00139021,-0.01176501
0.21666667,0.00123269,-0.00877284,-0.08056188,0.00080115,-0.00010154,-0.00146208,0.01178016,-0.06586850,-0.62549494,0.00828021,-0.00180174,-0.01279145
0.23333333,0.00144741,-0.00992293,-0.09150347,0.00095113,-0.00013924,-0.00169238,0.01291748,-0.06846025,-0.65655159,0.00899769,-0.00227333,-0.01381632
0.25000000,0.00168138,-0.01111252,-0.10292692,0.00111237,-0.00018574,-0.00193971,0.01406362,-0.07069983,-0.68547654,0.00967232,-0.00280393,-0.01483723
0.26666667,0.00193478,-0.01233606,-0.11479834,0.00128409,-0.00024197,-0.00220397,0.01521413,-0.07258985,-0.71236906,0.01029999,-0.00339153,-0.01585164
0.28333333,0.00220774,-0.01358799,-0.12708553,0.00146543,-0.00030882,-0.00248500,0.01636465,-0.07413322,-0.73733144,0.01087675,-0.00403297,-0.01685683
0.30000000,0.00250034,-0.01486285,-0.13975804,0.00165551,-0.00038713,-0.00278262,0.01751102,-0.07533340,-0.76046718,0.01139930,-0.00472440,-0.01784998
0.31666667,0.00281261,-0.01615520,-0.15278713,0.00185339,-0.00047762,-0.00309657,0.01864922,-0.07619425,-0.78187996,0.01186528,-0.00546089,-0.01882813
0.33333333,0.00314454,-0.01745967,-0.16614579,0.00205809,-0.00058096,-0.00342657,0.01977544,-0.07672015,-0.80167241,0.01227250,-0.00623693,-0.01978819
0.35000000,0.00349609,-0.01877093,-0.17980867,0.00226861,-0.00069769,-0.00377226,0.02088605,-0.07691595,-0.81994519,0.01261907,-0.00704638,-0.02072697
0.36666667,0.00386716,-0.02008376,-0.19375208,0.00248392,-0.00082825,-0.00413324,0.02197762,-0.07678686,-0.83679638,0.01290334,-0.00788257,-0.02164121
0.38333333,0.00425763,-0.02139298,-0.20795390,0.00270297,-0.00097295,-0.00450906,0.02304694,-0.07633859,-0.85232080,0.01312435,-0.00873837,-0.02252762
0.40000000,0.00466734,-0.02269349,-0.22239354,0.00292470,-0.00113201,-0.00489921,0.02409105,-0.07557710,-0.86660961,0.01328143,-0.00960649,-0.02338283
0.41666667,0.00509608,-0.02398030,-0.23705185,0.00314806,-0.00130548,-0.00530311,0.02510720,-0.07450888,-0.87974978,0.01337395,-0.01047940,-0.02420349
0.43333333,0.00554364,-0.02524849,-0.25191110,0.00337196,-0.00149332,-0.00572013,0.02609279,-0.07314073,-0.89182433,0.01340146,-0.01134871,-0.02498574
0.45000000,0.00600895,-0.02649310,-0.26695484,0.00359629,-0.00168956,-0.00614878,0.02699732,-0.07147147,-0.90291162,0.01342133,-0.01186112,-0.02567921
0.46666667,0.00649149,-0.02770961,-0.28216786,0.00381854,-0.00189290,-0.00658783,0.02785840,-0.06952814,-0.91308581,0.01329066,-0.01229508,-0.02629857
0.48333333,0.00699030,-0.02889380,-0.29753614,0.00403516,-0.00209926,-0.00703606,0.02865040,-0.06733098,-0.92241661,0.01294613,-0.01248416,-0.02684627
0.50000000,0.00750445,-0.03004184,-0.31304675,0.00424110,-0.00230550,-0.00749211,0.02937919,-0.06490766,-0.93096935,0.01229877,-0.01248512,-0.02731272
0.51666667,0.00803329,-0.03114970,-0.32868776,0.00443352,-0.00251051,-0.00795482,0.03006413,-0.06225076,-0.93880527,0.01148157,-0.01241778,-0.02771053
